Property,Date,Time,Temperature
4,16/01/2020,11:00:00 PM,29.23
5,17/01/2020,12:00:00 AM,30.01
6,17/01/2020,1:00:00 AM,30.18
7,17/01/2020,2:00:00 AM,30.27
8,17/01/2020,3:00:00 AM,30.33
9,17/01/2020,4:00:00 AM,30.37
10,17/01/2020,5:00:00 AM,30.40
11,17/01/2020,6:00:00 AM,30.41
12,17/01/2020,7:00:00 AM,30.42
13,17/01/2020,8:00:00 AM,30.43
14,17/01/2020,9:00:00 AM,30.43
15,17/01/2020,10:00:00 AM,30.43
16,17/01/2020,11:00:00 AM,30.42
17,17/01/2020,12:00:00 PM,30.42
18,17/01/2020,1:00:00 PM,30.41
19,17/01/2020,2:00:00 PM,30.40
20,17/01/2020,3:00:00 PM,30.39
21,17/01/2020,4:00:00 PM,30.38
22,17/01/2020,5:00:00 PM,30.37
23,17/01/2020,6:00:00 PM,30.37
24,17/01/2020,7:00:00 PM,30.36
25,17/01/2020,8:00:00 PM,30.36
26,17/01/2020,9:00:00 PM,30.37
27,17/01/2020,10:00:00 PM,30.37
28,17/01/2020,11:00:00 PM,30.38
29,18/01/2020,12:00:00 AM,30.39
30,18/01/2020,1:00:00 AM,30.39
31,18/01/2020,2:00:00 AM,30.40
32,18/01/2020,3:00:00 AM,30.41
33,18/01/2020,4:00:00 AM,30.41
34,18/01/2020,5:00:00 AM,30.41
35,18/01/2020,6:00:00 AM,30.42
36,18/01/2020,7:00:00 AM,30.42
37,18/01/2020,8:00:00 AM,30.41
38,18/01/2020,9:00:00 AM,30.41
39,18/01/2020,10:00:00 AM,30.40
40,18/01/2020,11:00:00 AM,30.40
41,18/01/2020,12:00:00 PM,30.39
42,18/01/2020,1:00:00 PM,30.38
43,18/01/2020,2:00:00 PM,30.37
44,18/01/2020,3:00:00 PM,30.36
45,18/01/2020,4:00:00 PM,30.35
46,18/01/2020,5:00:00 PM,30.33
47,18/01/2020,6:00:00 PM,30.32
48,18/01/2020,7:00:00 PM,30.31
49,18/01/2020,8:00:00 PM,30.31
50,18/01/2020,9:00:00 PM,30.31
51,18/01/2020,10:00:00 PM,30.30
52,18/01/2020,11:00:00 PM,30.18
53,19/01/2020,12:00:00 AM,30.13
54,19/01/2020,1:00:00 AM,29.94
55,19/01/2020,2:00:00 AM,29.78
56,19/01/2020,3:00:00 AM,29.67
57,19/01/2020,4:00:00 AM,29.57
58,19/01/2020,5:00:00 AM,29.48
59,19/01/2020,6:00:00 AM,29.40
60,19/01/2020,7:00:00 AM,29.33
61,19/01/2020,8:00:00 AM,29.27
62,19/01/2020,9:00:00 AM,29.21
63,19/01/2020,10:00:00 AM,29.16
64,19/01/2020,11:00:00 AM,29.15
65,19/01/2020,12:00:00 PM,29.18
66,19/01/2020,1:00:00 PM,29.29
67,19/01/2020,2:00:00 PM,29.48
68,19/01/2020,3:00:00 PM,29.72
