Property,Date,Time,Temperature
6,19/01/2020,1:00:00 AM,30.40
7,19/01/2020,2:00:00 AM,30.89
8,19/01/2020,3:00:00 AM,30.85
9,19/01/2020,4:00:00 AM,30.83
10,19/01/2020,5:00:00 AM,30.80
11,19/01/2020,6:00:00 AM,30.78
12,19/01/2020,7:00:00 AM,30.77
13,19/01/2020,8:00:00 AM,30.75
14,19/01/2020,9:00:00 AM,30.74
15,19/01/2020,10:00:00 AM,30.73
16,19/01/2020,11:00:00 AM,30.72
17,19/01/2020,12:00:00 PM,30.71
18,19/01/2020,1:00:00 PM,30.70
19,19/01/2020,2:00:00 PM,30.69
20,19/01/2020,3:00:00 PM,30.68
21,19/01/2020,4:00:00 PM,30.67
22,19/01/2020,5:00:00 PM,30.66
23,19/01/2020,6:00:00 PM,30.65
24,19/01/2020,7:00:00 PM,30.64
25,19/01/2020,8:00:00 PM,30.63
26,19/01/2020,9:00:00 PM,30.62
27,19/01/2020,10:00:00 PM,30.61
28,19/01/2020,11:00:00 PM,30.60
29,20/01/2020,12:00:00 AM,30.59
30,20/01/2020,1:00:00 AM,30.59
31,20/01/2020,2:00:00 AM,30.58
32,20/01/2020,3:00:00 AM,30.58
33,20/01/2020,4:00:00 AM,30.58
34,20/01/2020,5:00:00 AM,30.57
35,20/01/2020,6:00:00 AM,30.57
36,20/01/2020,7:00:00 AM,30.58
37,20/01/2020,8:00:00 AM,30.58
38,20/01/2020,9:00:00 AM,30.58
39,20/01/2020,10:00:00 AM,30.58
40,20/01/2020,11:00:00 AM,30.58
41,20/01/2020,12:00:00 PM,30.59
42,20/01/2020,1:00:00 PM,30.59
43,20/01/2020,2:00:00 PM,30.59
44,20/01/2020,3:00:00 PM,30.60
45,20/01/2020,4:00:00 PM,30.60
46,20/01/2020,5:00:00 PM,30.60
47,20/01/2020,6:00:00 PM,30.60
48,20/01/2020,7:00:00 PM,30.60
49,20/01/2020,8:00:00 PM,30.60
50,20/01/2020,9:00:00 PM,30.60
51,20/01/2020,10:00:00 PM,30.60
52,20/01/2020,11:00:00 PM,30.60
53,21/01/2020,12:00:00 AM,30.61
54,21/01/2020,1:00:00 AM,30.61
55,21/01/2020,2:00:00 AM,30.61
56,21/01/2020,3:00:00 AM,30.62
57,21/01/2020,4:00:00 AM,30.62
58,21/01/2020,5:00:00 AM,30.63
59,21/01/2020,6:00:00 AM,30.63
60,21/01/2020,7:00:00 AM,30.64
61,21/01/2020,8:00:00 AM,30.65
62,21/01/2020,9:00:00 AM,30.66
63,21/01/2020,10:00:00 AM,30.67
64,21/01/2020,11:00:00 AM,30.67
65,21/01/2020,12:00:00 PM,30.68
66,21/01/2020,1:00:00 PM,30.69
67,21/01/2020,2:00:00 PM,30.70
68,21/01/2020,3:00:00 PM,30.70
69,21/01/2020,4:00:00 PM,30.71
70,21/01/2020,5:00:00 PM,30.72
71,21/01/2020,6:00:00 PM,30.72
72,21/01/2020,7:00:00 PM,30.72
73,21/01/2020,8:00:00 PM,30.73
74,21/01/2020,9:00:00 PM,30.73
75,21/01/2020,10:00:00 PM,30.73
76,21/01/2020,11:00:00 PM,30.74
77,22/01/2020,12:00:00 AM,30.74
78,22/01/2020,1:00:00 AM,30.74
79,22/01/2020,2:00:00 AM,30.75
80,22/01/2020,3:00:00 AM,30.75
81,22/01/2020,4:00:00 AM,30.76
82,22/01/2020,5:00:00 AM,30.76
83,22/01/2020,6:00:00 AM,30.77
84,22/01/2020,7:00:00 AM,30.77
85,22/01/2020,8:00:00 AM,30.78
86,22/01/2020,9:00:00 AM,30.78
87,22/01/2020,10:00:00 AM,30.79
88,22/01/2020,11:00:00 AM,30.80
89,22/01/2020,12:00:00 PM,30.80
90,22/01/2020,1:00:00 PM,30.81
91,22/01/2020,2:00:00 PM,30.82
92,22/01/2020,3:00:00 PM,30.82
93,22/01/2020,4:00:00 PM,30.82
94,22/01/2020,5:00:00 PM,30.83
95,22/01/2020,6:00:00 PM,30.83
96,22/01/2020,7:00:00 PM,30.83
97,22/01/2020,8:00:00 PM,30.83
98,22/01/2020,9:00:00 PM,30.84
99,22/01/2020,10:00:00 PM,30.84
100,22/01/2020,11:00:00 PM,30.84
101,23/01/2020,12:00:00 AM,30.84
102,23/01/2020,1:00:00 AM,30.85
103,23/01/2020,2:00:00 AM,30.85
104,23/01/2020,3:00:00 AM,30.85
