Property,Date,Time,Temperature
30,20/01/2020,1:00:00 AM,29.20
31,20/01/2020,2:00:00 AM,30.63
32,20/01/2020,3:00:00 AM,30.60
33,20/01/2020,4:00:00 AM,30.57
34,20/01/2020,5:00:00 AM,30.55
35,20/01/2020,6:00:00 AM,30.53
36,20/01/2020,7:00:00 AM,30.52
37,20/01/2020,8:00:00 AM,30.51
38,20/01/2020,9:00:00 AM,30.51
39,20/01/2020,10:00:00 AM,30.50
40,20/01/2020,11:00:00 AM,30.49
41,20/01/2020,12:00:00 PM,30.49
42,20/01/2020,1:00:00 PM,30.48
43,20/01/2020,2:00:00 PM,30.48
44,20/01/2020,3:00:00 PM,30.47
45,20/01/2020,4:00:00 PM,30.47
46,20/01/2020,5:00:00 PM,30.47
47,20/01/2020,6:00:00 PM,30.46
48,20/01/2020,7:00:00 PM,30.46
49,20/01/2020,8:00:00 PM,30.46
50,20/01/2020,9:00:00 PM,30.45
51,20/01/2020,10:00:00 PM,30.45
52,20/01/2020,11:00:00 PM,30.45
53,21/01/2020,12:00:00 AM,30.44
54,21/01/2020,1:00:00 AM,30.44
55,21/01/2020,2:00:00 AM,30.44
56,21/01/2020,3:00:00 AM,30.44
57,21/01/2020,4:00:00 AM,30.44
58,21/01/2020,5:00:00 AM,30.44
59,21/01/2020,6:00:00 AM,30.45
60,21/01/2020,7:00:00 AM,30.45
61,21/01/2020,8:00:00 AM,30.46
62,21/01/2020,9:00:00 AM,30.46
63,21/01/2020,10:00:00 AM,30.47
64,21/01/2020,11:00:00 AM,30.47
65,21/01/2020,12:00:00 PM,30.48
66,21/01/2020,1:00:00 PM,30.49
67,21/01/2020,2:00:00 PM,30.49
68,21/01/2020,3:00:00 PM,30.50
69,21/01/2020,4:00:00 PM,30.51
70,21/01/2020,5:00:00 PM,30.51
71,21/01/2020,6:00:00 PM,30.52
72,21/01/2020,7:00:00 PM,30.53
73,21/01/2020,8:00:00 PM,30.53
74,21/01/2020,9:00:00 PM,30.54
75,21/01/2020,10:00:00 PM,30.54
76,21/01/2020,11:00:00 PM,30.55
77,22/01/2020,12:00:00 AM,30.55
78,22/01/2020,1:00:00 AM,30.56
79,22/01/2020,2:00:00 AM,30.56
80,22/01/2020,3:00:00 AM,30.57
81,22/01/2020,4:00:00 AM,30.57
82,22/01/2020,5:00:00 AM,30.58
83,22/01/2020,6:00:00 AM,30.59
84,22/01/2020,7:00:00 AM,30.60
85,22/01/2020,8:00:00 AM,30.60
86,22/01/2020,9:00:00 AM,30.61
87,22/01/2020,10:00:00 AM,30.62
88,22/01/2020,11:00:00 AM,30.63
89,22/01/2020,12:00:00 PM,30.64
90,22/01/2020,1:00:00 PM,30.65
91,22/01/2020,2:00:00 PM,30.66
92,22/01/2020,3:00:00 PM,30.67
93,22/01/2020,4:00:00 PM,30.68
94,22/01/2020,5:00:00 PM,30.69
95,22/01/2020,6:00:00 PM,30.69
96,22/01/2020,7:00:00 PM,30.70
97,22/01/2020,8:00:00 PM,30.71
98,22/01/2020,9:00:00 PM,30.71
99,22/01/2020,10:00:00 PM,30.72
100,22/01/2020,11:00:00 PM,30.73
101,23/01/2020,12:00:00 AM,30.73
102,23/01/2020,1:00:00 AM,30.74
103,23/01/2020,2:00:00 AM,30.74
104,23/01/2020,3:00:00 AM,30.75
105,23/01/2020,4:00:00 AM,30.76
106,23/01/2020,5:00:00 AM,30.76
107,23/01/2020,6:00:00 AM,30.77
108,23/01/2020,7:00:00 AM,30.78
109,23/01/2020,8:00:00 AM,30.79
110,23/01/2020,9:00:00 AM,30.79
111,23/01/2020,10:00:00 AM,30.81
112,23/01/2020,11:00:00 AM,30.81
113,23/01/2020,12:00:00 PM,30.83
114,23/01/2020,1:00:00 PM,30.83
115,23/01/2020,2:00:00 PM,30.84
116,23/01/2020,3:00:00 PM,30.85
117,23/01/2020,4:00:00 PM,30.86
118,23/01/2020,5:00:00 PM,30.87
119,23/01/2020,6:00:00 PM,30.88
120,23/01/2020,7:00:00 PM,30.89
121,23/01/2020,8:00:00 PM,30.89
122,23/01/2020,9:00:00 PM,30.90
123,23/01/2020,10:00:00 PM,30.91
124,23/01/2020,11:00:00 PM,30.91
125,24/01/2020,12:00:00 AM,30.92
126,24/01/2020,1:00:00 AM,30.93
127,24/01/2020,2:00:00 AM,30.93
128,24/01/2020,3:00:00 AM,30.94
129,24/01/2020,4:00:00 AM,30.95
130,24/01/2020,5:00:00 AM,30.95
131,24/01/2020,6:00:00 AM,30.96
132,24/01/2020,7:00:00 AM,30.97
133,24/01/2020,8:00:00 AM,30.98
134,24/01/2020,9:00:00 AM,30.98
135,24/01/2020,10:00:00 AM,30.99
136,24/01/2020,11:00:00 AM,31.00
137,24/01/2020,12:00:00 PM,31.00
138,24/01/2020,1:00:00 PM,31.01
139,24/01/2020,2:00:00 PM,31.01
140,24/01/2020,3:00:00 PM,31.02
141,24/01/2020,4:00:00 PM,31.03
142,24/01/2020,5:00:00 PM,31.03
143,24/01/2020,6:00:00 PM,31.04
144,24/01/2020,7:00:00 PM,31.04
145,24/01/2020,8:00:00 PM,31.04
146,24/01/2020,9:00:00 PM,31.05
147,24/01/2020,10:00:00 PM,31.05
148,24/01/2020,11:00:00 PM,31.06
149,25/01/2020,12:00:00 AM,31.05
150,25/01/2020,1:00:00 AM,31.06
151,25/01/2020,2:00:00 AM,31.06
152,25/01/2020,3:00:00 AM,31.07
153,25/01/2020,4:00:00 AM,31.07
154,25/01/2020,5:00:00 AM,31.07
155,25/01/2020,6:00:00 AM,31.08
156,25/01/2020,7:00:00 AM,31.08
157,25/01/2020,8:00:00 AM,31.09
158,25/01/2020,9:00:00 AM,31.09
159,25/01/2020,10:00:00 AM,31.10
160,25/01/2020,11:00:00 AM,31.11
161,25/01/2020,12:00:00 PM,31.11
162,25/01/2020,1:00:00 PM,31.12
163,25/01/2020,2:00:00 PM,31.13
164,25/01/2020,3:00:00 PM,31.13
165,25/01/2020,4:00:00 PM,31.14
166,25/01/2020,5:00:00 PM,31.14
167,25/01/2020,6:00:00 PM,31.15
168,25/01/2020,7:00:00 PM,31.15
169,25/01/2020,8:00:00 PM,31.16
170,25/01/2020,9:00:00 PM,31.16
171,25/01/2020,10:00:00 PM,31.17
172,25/01/2020,11:00:00 PM,31.17
173,26/01/2020,12:00:00 AM,31.17
174,26/01/2020,1:00:00 AM,31.17
175,26/01/2020,2:00:00 AM,31.18
176,26/01/2020,3:00:00 AM,31.18
177,26/01/2020,4:00:00 AM,31.19
178,26/01/2020,5:00:00 AM,31.19
179,26/01/2020,6:00:00 AM,31.20
180,26/01/2020,7:00:00 AM,31.20
181,26/01/2020,8:00:00 AM,31.21
182,26/01/2020,9:00:00 AM,31.21
183,26/01/2020,10:00:00 AM,31.22
184,26/01/2020,11:00:00 AM,31.23
185,26/01/2020,12:00:00 PM,31.23
186,26/01/2020,1:00:00 PM,31.24
187,26/01/2020,2:00:00 PM,31.25
188,26/01/2020,3:00:00 PM,31.25
189,26/01/2020,4:00:00 PM,31.26
190,26/01/2020,5:00:00 PM,31.26
191,26/01/2020,6:00:00 PM,31.27
192,26/01/2020,7:00:00 PM,31.27
193,26/01/2020,8:00:00 PM,31.27
194,26/01/2020,9:00:00 PM,31.27
195,26/01/2020,10:00:00 PM,31.28
196,26/01/2020,11:00:00 PM,31.28
197,27/01/2020,12:00:00 AM,31.29
198,27/01/2020,1:00:00 AM,31.29
199,27/01/2020,2:00:00 AM,31.29
200,27/01/2020,3:00:00 AM,31.29
201,27/01/2020,4:00:00 AM,31.30
202,27/01/2020,5:00:00 AM,31.30
203,27/01/2020,6:00:00 AM,31.31
204,27/01/2020,7:00:00 AM,31.32
205,27/01/2020,8:00:00 AM,31.32
206,27/01/2020,9:00:00 AM,31.33
