Property,Date,Time,Temperature
4,17/01/2020,11:00:00 PM,30.16
5,18/01/2020,12:00:00 AM,30.24
6,18/01/2020,1:00:00 AM,30.25
7,18/01/2020,2:00:00 AM,30.25
8,18/01/2020,3:00:00 AM,30.25
9,18/01/2020,4:00:00 AM,30.24
10,18/01/2020,5:00:00 AM,30.24
11,18/01/2020,6:00:00 AM,30.23
12,18/01/2020,7:00:00 AM,30.23
13,18/01/2020,8:00:00 AM,30.22
14,18/01/2020,9:00:00 AM,30.22
15,18/01/2020,10:00:00 AM,30.21
16,18/01/2020,11:00:00 AM,30.20
17,18/01/2020,12:00:00 PM,30.19
18,18/01/2020,1:00:00 PM,30.18
19,18/01/2020,2:00:00 PM,30.17
20,18/01/2020,3:00:00 PM,30.16
21,18/01/2020,4:00:00 PM,30.16
22,18/01/2020,5:00:00 PM,30.14
23,18/01/2020,6:00:00 PM,30.13
24,18/01/2020,7:00:00 PM,30.12
25,18/01/2020,8:00:00 PM,30.12
26,18/01/2020,9:00:00 PM,30.11
27,18/01/2020,10:00:00 PM,30.11
28,18/01/2020,11:00:00 PM,30.11
29,19/01/2020,12:00:00 AM,30.11
30,19/01/2020,1:00:00 AM,30.12
31,19/01/2020,2:00:00 AM,30.13
32,19/01/2020,3:00:00 AM,30.14
33,19/01/2020,4:00:00 AM,30.15
34,19/01/2020,5:00:00 AM,30.17
35,19/01/2020,6:00:00 AM,30.18
36,19/01/2020,7:00:00 AM,30.19
37,19/01/2020,8:00:00 AM,30.20
38,19/01/2020,9:00:00 AM,30.21
39,19/01/2020,10:00:00 AM,30.22
40,19/01/2020,11:00:00 AM,30.23
41,19/01/2020,12:00:00 PM,30.24
42,19/01/2020,1:00:00 PM,30.24
43,19/01/2020,2:00:00 PM,30.24
44,19/01/2020,3:00:00 PM,30.25
45,19/01/2020,4:00:00 PM,30.25
46,19/01/2020,5:00:00 PM,30.25
47,19/01/2020,6:00:00 PM,30.24
48,19/01/2020,7:00:00 PM,30.25
49,19/01/2020,8:00:00 PM,30.25
50,19/01/2020,9:00:00 PM,30.25
51,19/01/2020,10:00:00 PM,30.26
52,19/01/2020,11:00:00 PM,30.28
53,20/01/2020,12:00:00 AM,30.29
54,20/01/2020,1:00:00 AM,30.31
55,20/01/2020,2:00:00 AM,30.33
56,20/01/2020,3:00:00 AM,30.36
57,20/01/2020,4:00:00 AM,30.39
58,20/01/2020,5:00:00 AM,30.42
59,20/01/2020,6:00:00 AM,30.44
60,20/01/2020,7:00:00 AM,30.47
61,20/01/2020,8:00:00 AM,30.49
62,20/01/2020,9:00:00 AM,30.52
63,20/01/2020,10:00:00 AM,30.54
64,20/01/2020,11:00:00 AM,30.56
65,20/01/2020,12:00:00 PM,30.58
66,20/01/2020,1:00:00 PM,30.59
67,20/01/2020,2:00:00 PM,30.60
68,20/01/2020,3:00:00 PM,30.61
69,20/01/2020,4:00:00 PM,30.62
70,20/01/2020,5:00:00 PM,30.62
71,20/01/2020,6:00:00 PM,30.63
72,20/01/2020,7:00:00 PM,30.63
73,20/01/2020,8:00:00 PM,30.64
74,20/01/2020,9:00:00 PM,30.65
75,20/01/2020,10:00:00 PM,30.66
76,20/01/2020,11:00:00 PM,30.67
77,21/01/2020,12:00:00 AM,30.69
78,21/01/2020,1:00:00 AM,30.71
79,21/01/2020,2:00:00 AM,30.74
80,21/01/2020,3:00:00 AM,30.76
81,21/01/2020,4:00:00 AM,30.79
82,21/01/2020,5:00:00 AM,30.81
83,21/01/2020,6:00:00 AM,30.84
84,21/01/2020,7:00:00 AM,30.87
85,21/01/2020,8:00:00 AM,30.89
86,21/01/2020,9:00:00 AM,30.91
87,21/01/2020,10:00:00 AM,30.93
88,21/01/2020,11:00:00 AM,30.95
89,21/01/2020,12:00:00 PM,30.97
90,21/01/2020,1:00:00 PM,30.98
91,21/01/2020,2:00:00 PM,30.99
92,21/01/2020,3:00:00 PM,30.99
93,21/01/2020,4:00:00 PM,31.00
94,21/01/2020,5:00:00 PM,31.00
95,21/01/2020,6:00:00 PM,31.00
96,21/01/2020,7:00:00 PM,31.00
97,21/01/2020,8:00:00 PM,31.01
98,21/01/2020,9:00:00 PM,31.01
99,21/01/2020,10:00:00 PM,31.02
100,21/01/2020,11:00:00 PM,31.03
101,22/01/2020,12:00:00 AM,31.04
102,22/01/2020,1:00:00 AM,31.06
103,22/01/2020,2:00:00 AM,31.08
