Property,Date,Time,Temperature
6,4/1/2020,1:00:00 AM,29.716
7,4/1/2020,2:00:00 AM,30.069
8,4/1/2020,3:00:00 AM,30.195
9,4/1/2020,4:00:00 AM,30.283
10,4/1/2020,5:00:00 AM,30.35
11,4/1/2020,6:00:00 AM,30.402
12,4/1/2020,7:00:00 AM,30.44
13,4/1/2020,8:00:00 AM,30.47
14,4/1/2020,9:00:00 AM,30.491
15,4/1/2020,10:00:00 AM,30.508
16,4/1/2020,11:00:00 AM,30.519
17,4/1/2020,12:00:00 PM,30.526
18,4/1/2020,1:00:00 PM,30.531
19,4/1/2020,2:00:00 PM,30.534
20,4/1/2020,3:00:00 PM,30.534
21,4/1/2020,4:00:00 PM,30.533
22,4/1/2020,5:00:00 PM,30.529
23,4/1/2020,6:00:00 PM,30.526
24,4/1/2020,7:00:00 PM,30.522
25,4/1/2020,8:00:00 PM,30.517
26,4/1/2020,9:00:00 PM,30.514
27,4/1/2020,10:00:00 PM,30.51
28,4/1/2020,11:00:00 PM,30.508
29,5/1/2020,12:00:00 AM,30.505
30,5/1/2020,1:00:00 AM,30.505
31,5/1/2020,2:00:00 AM,30.507
32,5/1/2020,3:00:00 AM,30.508
33,5/1/2020,4:00:00 AM,30.513
34,5/1/2020,5:00:00 AM,30.517
35,5/1/2020,6:00:00 AM,30.523
36,5/1/2020,7:00:00 AM,30.529
37,5/1/2020,8:00:00 AM,30.537
38,5/1/2020,9:00:00 AM,30.545
39,5/1/2020,10:00:00 AM,30.552
40,5/1/2020,11:00:00 AM,30.56
41,5/1/2020,12:00:00 PM,30.568
42,5/1/2020,1:00:00 PM,30.574
43,5/1/2020,2:00:00 PM,30.58
44,5/1/2020,3:00:00 PM,30.586
45,5/1/2020,4:00:00 PM,30.59
46,5/1/2020,5:00:00 PM,30.595
47,5/1/2020,6:00:00 PM,30.598
48,5/1/2020,7:00:00 PM,30.603
49,5/1/2020,8:00:00 PM,30.606
50,5/1/2020,9:00:00 PM,30.609
51,5/1/2020,10:00:00 PM,30.612
52,5/1/2020,11:00:00 PM,30.615
53,6/1/2020,12:00:00 AM,30.619
54,6/1/2020,1:00:00 AM,30.624
55,6/1/2020,2:00:00 AM,30.627
56,6/1/2020,3:00:00 AM,30.636
57,6/1/2020,4:00:00 AM,30.642
58,6/1/2020,5:00:00 AM,30.648
59,6/1/2020,6:00:00 AM,30.656
60,6/1/2020,7:00:00 AM,30.662
61,6/1/2020,8:00:00 AM,30.668
62,6/1/2020,9:00:00 AM,30.674
63,6/1/2020,10:00:00 AM,30.68
64,6/1/2020,11:00:00 AM,30.687
65,6/1/2020,12:00:00 PM,30.69
66,6/1/2020,1:00:00 PM,30.693
67,6/1/2020,2:00:00 PM,30.696
68,6/1/2020,3:00:00 PM,30.697
69,6/1/2020,4:00:00 PM,30.697
70,6/1/2020,5:00:00 PM,30.697
71,6/1/2020,6:00:00 PM,30.697
72,6/1/2020,7:00:00 PM,30.694
73,6/1/2020,8:00:00 PM,30.693
74,6/1/2020,9:00:00 PM,30.691
75,6/1/2020,10:00:00 PM,30.69
76,6/1/2020,11:00:00 PM,30.688
77,7/1/2020,12:00:00 AM,30.687
78,7/1/2020,1:00:00 AM,30.685
79,7/1/2020,2:00:00 AM,30.687
80,7/1/2020,3:00:00 AM,30.69
81,7/1/2020,4:00:00 AM,30.688
82,7/1/2020,5:00:00 AM,30.691
83,7/1/2020,6:00:00 AM,30.693
84,7/1/2020,7:00:00 AM,30.696
85,7/1/2020,8:00:00 AM,30.699
86,7/1/2020,9:00:00 AM,30.702
87,7/1/2020,10:00:00 AM,30.705
88,7/1/2020,11:00:00 AM,30.706
89,7/1/2020,12:00:00 PM,30.708
90,7/1/2020,1:00:00 PM,30.709
91,7/1/2020,2:00:00 PM,30.709
92,7/1/2020,3:00:00 PM,30.709
93,7/1/2020,4:00:00 PM,30.708
94,7/1/2020,5:00:00 PM,30.706
95,7/1/2020,6:00:00 PM,30.703
96,7/1/2020,7:00:00 PM,30.699
97,7/1/2020,8:00:00 PM,30.693
98,7/1/2020,9:00:00 PM,30.687
99,7/1/2020,10:00:00 PM,30.68
100,7/1/2020,11:00:00 PM,30.674
101,8/1/2020,12:00:00 AM,30.667
102,8/1/2020,1:00:00 AM,30.659
103,8/1/2020,2:00:00 AM,30.654
104,8/1/2020,3:00:00 AM,30.648
105,8/1/2020,4:00:00 AM,30.642
106,8/1/2020,5:00:00 AM,30.638
107,8/1/2020,6:00:00 AM,30.633
108,8/1/2020,7:00:00 AM,30.629
109,8/1/2020,8:00:00 AM,30.624
110,8/1/2020,9:00:00 AM,30.619
111,8/1/2020,10:00:00 AM,30.615
112,8/1/2020,11:00:00 AM,30.61
113,8/1/2020,12:00:00 PM,30.606
114,8/1/2020,1:00:00 PM,30.6
115,8/1/2020,2:00:00 PM,30.593
116,8/1/2020,3:00:00 PM,30.587
117,8/1/2020,4:00:00 PM,30.58
118,8/1/2020,5:00:00 PM,30.572
119,8/1/2020,6:00:00 PM,30.565
120,8/1/2020,7:00:00 PM,30.557
121,8/1/2020,8:00:00 PM,30.548
122,8/1/2020,9:00:00 PM,30.54
123,8/1/2020,10:00:00 PM,30.533
124,8/1/2020,11:00:00 PM,30.523
125,9/1/2020,12:00:00 AM,30.517
126,9/1/2020,1:00:00 AM,30.51
127,9/1/2020,2:00:00 AM,30.504
128,9/1/2020,3:00:00 AM,30.499
129,9/1/2020,4:00:00 AM,30.494
130,9/1/2020,5:00:00 AM,30.49
