Property,Date,Time,Temperature
28,15/01/2020,11:00:00 PM,28.388 °C
29,16/01/2020,12:00:00 AM,30.082 °C
30,16/01/2020,1:00:00 AM,30.360 °C
31,16/01/2020,2:00:00 AM,30.580 °C
32,16/01/2020,3:00:00 AM,30.749 °C
33,16/01/2020,4:00:00 AM,30.876 °C
34,16/01/2020,5:00:00 AM,30.972 °C
35,16/01/2020,6:00:00 AM,31.041 °C
36,16/01/2020,7:00:00 AM,31.090 °C
37,16/01/2020,8:00:00 AM,31.121 °C
38,16/01/2020,9:00:00 AM,31.139 °C
39,16/01/2020,10:00:00 AM,31.145 °C
40,16/01/2020,11:00:00 AM,31.142 °C
41,16/01/2020,12:00:00 PM,31.132 °C
42,16/01/2020,1:00:00 PM,31.115 °C
43,16/01/2020,2:00:00 PM,31.092 °C
44,16/01/2020,3:00:00 PM,31.064 °C
45,16/01/2020,4:00:00 PM,31.038 °C
46,16/01/2020,5:00:00 PM,31.009 °C
47,16/01/2020,6:00:00 PM,30.983 °C
48,16/01/2020,7:00:00 PM,30.957 °C
49,16/01/2020,8:00:00 PM,30.934 °C
50,16/01/2020,9:00:00 PM,30.917 °C
51,16/01/2020,10:00:00 PM,30.904 °C
52,16/01/2020,11:00:00 PM,30.893 °C
53,17/01/2020,12:00:00 AM,30.887 °C
54,17/01/2020,1:00:00 AM,30.881 °C
55,17/01/2020,2:00:00 AM,30.876 °C
56,17/01/2020,3:00:00 AM,30.871 °C
57,17/01/2020,4:00:00 AM,30.865 °C
58,17/01/2020,5:00:00 AM,30.858 °C
59,17/01/2020,6:00:00 AM,30.848 °C
60,17/01/2020,7:00:00 AM,30.838 °C
61,17/01/2020,8:00:00 AM,30.824 °C
62,17/01/2020,9:00:00 AM,30.809 °C
63,17/01/2020,10:00:00 AM,30.790 °C
64,17/01/2020,11:00:00 AM,30.771 °C
65,17/01/2020,12:00:00 PM,30.748 °C
66,17/01/2020,1:00:00 PM,30.725 °C
67,17/01/2020,2:00:00 PM,30.700 °C
68,17/01/2020,3:00:00 PM,30.677 °C
69,17/01/2020,4:00:00 PM,30.659 °C
70,17/01/2020,5:00:00 PM,30.644 °C
71,17/01/2020,6:00:00 PM,30.636 °C
72,17/01/2020,7:00:00 PM,30.638 °C
73,17/01/2020,8:00:00 PM,30.641 °C
74,17/01/2020,9:00:00 PM,30.650 °C
75,17/01/2020,10:00:00 PM,30.664 °C
76,17/01/2020,11:00:00 PM,30.677 °C
77,18/01/2020,12:00:00 AM,30.693 °C
78,18/01/2020,1:00:00 AM,30.705 °C
79,18/01/2020,2:00:00 AM,30.716 °C
80,18/01/2020,3:00:00 AM,30.722 °C
81,18/01/2020,4:00:00 AM,30.725 °C
82,18/01/2020,5:00:00 AM,30.725 °C
83,18/01/2020,6:00:00 AM,30.722 °C
84,18/01/2020,7:00:00 AM,30.714 °C
85,18/01/2020,8:00:00 AM,30.702 °C
86,18/01/2020,9:00:00 AM,30.688 °C
