Property,Date,Time,Temperature
1,28/12/2019,9:00:00 PM,29.74
2,28/12/2019,10:00:00 PM,29.86
3,28/12/2019,11:00:00 PM,29.85
4,29/12/2019,12:00:00 AM,29.85
5,29/12/2019,1:00:00 AM,29.86
6,29/12/2019,2:00:00 AM,29.86
7,29/12/2019,3:00:00 AM,29.87
8,29/12/2019,4:00:00 AM,29.88
9,29/12/2019,5:00:00 AM,29.88
10,29/12/2019,6:00:00 AM,29.89
11,29/12/2019,7:00:00 AM,29.89
12,29/12/2019,8:00:00 AM,29.90
13,29/12/2019,9:00:00 AM,29.90
14,29/12/2019,10:00:00 AM,29.90
15,29/12/2019,11:00:00 AM,29.91
16,29/12/2019,12:00:00 PM,29.91
17,29/12/2019,1:00:00 PM,29.91
18,29/12/2019,2:00:00 PM,29.92
19,29/12/2019,3:00:00 PM,29.92
20,29/12/2019,4:00:00 PM,29.92
21,29/12/2019,5:00:00 PM,29.92
22,29/12/2019,6:00:00 PM,29.93
23,29/12/2019,7:00:00 PM,29.93
24,29/12/2019,8:00:00 PM,29.93
25,29/12/2019,9:00:00 PM,29.93
26,29/12/2019,10:00:00 PM,29.93
27,29/12/2019,11:00:00 PM,29.93
28,30/12/2019,12:00:00 AM,29.94
29,30/12/2019,1:00:00 AM,29.94
30,30/12/2019,2:00:00 AM,29.94
31,30/12/2019,3:00:00 AM,29.94
32,30/12/2019,4:00:00 AM,29.94
33,30/12/2019,5:00:00 AM,29.94
34,30/12/2019,6:00:00 AM,29.95
35,30/12/2019,7:00:00 AM,29.95
36,30/12/2019,8:00:00 AM,29.95
37,30/12/2019,9:00:00 AM,29.96
38,30/12/2019,10:00:00 AM,29.96
39,30/12/2019,11:00:00 AM,29.96
40,30/12/2019,12:00:00 PM,29.97
41,30/12/2019,1:00:00 PM,29.97
42,30/12/2019,2:00:00 PM,29.98
43,30/12/2019,3:00:00 PM,29.98
44,30/12/2019,4:00:00 PM,29.98
45,30/12/2019,5:00:00 PM,29.99
46,30/12/2019,6:00:00 PM,29.99
47,30/12/2019,7:00:00 PM,30.00
48,30/12/2019,8:00:00 PM,30.00
49,30/12/2019,9:00:00 PM,30.00
50,30/12/2019,10:00:00 PM,30.01
51,30/12/2019,11:00:00 PM,30.01
52,31/12/2019,12:00:00 AM,30.01
53,31/12/2019,1:00:00 AM,30.01
54,31/12/2019,2:00:00 AM,30.02
55,31/12/2019,3:00:00 AM,30.02
56,31/12/2019,4:00:00 AM,30.02
57,31/12/2019,5:00:00 AM,30.03
58,31/12/2019,6:00:00 AM,30.03
59,31/12/2019,7:00:00 AM,30.03
60,31/12/2019,8:00:00 AM,30.04
61,31/12/2019,9:00:00 AM,30.04
62,31/12/2019,10:00:00 AM,30.05
63,31/12/2019,11:00:00 AM,30.05
64,31/12/2019,12:00:00 PM,30.06
65,31/12/2019,1:00:00 PM,30.06
66,31/12/2019,2:00:00 PM,30.07
67,31/12/2019,3:00:00 PM,30.07
68,31/12/2019,4:00:00 PM,30.08
69,31/12/2019,5:00:00 PM,30.08
70,31/12/2019,6:00:00 PM,30.09
71,31/12/2019,7:00:00 PM,30.09
72,31/12/2019,8:00:00 PM,30.10
73,31/12/2019,9:00:00 PM,30.10
74,31/12/2019,10:00:00 PM,30.11
75,31/12/2019,11:00:00 PM,30.11
76,1/1/2020,12:00:00 AM,30.11
77,1/1/2020,1:00:00 AM,30.12
78,1/1/2020,2:00:00 AM,30.12
79,1/1/2020,3:00:00 AM,30.13
80,1/1/2020,4:00:00 AM,30.13
81,1/1/2020,5:00:00 AM,30.13
82,1/1/2020,6:00:00 AM,30.14
83,1/1/2020,7:00:00 AM,30.15
84,1/1/2020,8:00:00 AM,30.15
85,1/1/2020,9:00:00 AM,30.16
86,1/1/2020,10:00:00 AM,30.16
87,1/1/2020,11:00:00 AM,30.17
88,1/1/2020,12:00:00 PM,30.18
89,1/1/2020,1:00:00 PM,30.18
90,1/1/2020,2:00:00 PM,30.19
91,1/1/2020,3:00:00 PM,30.19
92,1/1/2020,4:00:00 PM,30.20
93,1/1/2020,5:00:00 PM,30.21
94,1/1/2020,6:00:00 PM,30.21
95,1/1/2020,7:00:00 PM,30.22
96,1/1/2020,8:00:00 PM,30.22
97,1/1/2020,9:00:00 PM,30.23
98,1/1/2020,10:00:00 PM,30.24
99,1/1/2020,11:00:00 PM,30.24
100,2/1/2020,12:00:00 AM,30.25
101,2/1/2020,1:00:00 AM,30.25
102,2/1/2020,2:00:00 AM,30.26
103,2/1/2020,3:00:00 AM,30.26
104,2/1/2020,4:00:00 AM,30.27
105,2/1/2020,5:00:00 AM,30.27
106,2/1/2020,6:00:00 AM,30.28
107,2/1/2020,7:00:00 AM,30.28
108,2/1/2020,8:00:00 AM,30.29
109,2/1/2020,9:00:00 AM,30.30
110,2/1/2020,10:00:00 AM,30.30
111,2/1/2020,11:00:00 AM,30.31
112,2/1/2020,12:00:00 PM,30.32
113,2/1/2020,1:00:00 PM,30.32
114,2/1/2020,2:00:00 PM,30.33
115,2/1/2020,3:00:00 PM,30.34
116,2/1/2020,4:00:00 PM,30.35
117,2/1/2020,5:00:00 PM,30.36
118,2/1/2020,6:00:00 PM,30.36
119,2/1/2020,7:00:00 PM,30.37
120,2/1/2020,8:00:00 PM,30.37
121,2/1/2020,9:00:00 PM,30.37
122,2/1/2020,10:00:00 PM,30.37
123,2/1/2020,11:00:00 PM,30.37
124,3/1/2020,12:00:00 AM,30.37
125,3/1/2020,1:00:00 AM,30.36
126,3/1/2020,2:00:00 AM,30.36
127,3/1/2020,3:00:00 AM,30.35
128,3/1/2020,4:00:00 AM,30.35
129,3/1/2020,5:00:00 AM,30.35
130,3/1/2020,6:00:00 AM,30.34
131,3/1/2020,7:00:00 AM,30.34
132,3/1/2020,8:00:00 AM,30.33
133,3/1/2020,9:00:00 AM,30.33
134,3/1/2020,10:00:00 AM,30.32
135,3/1/2020,11:00:00 AM,30.32
136,3/1/2020,12:00:00 PM,30.32
137,3/1/2020,1:00:00 PM,30.31
138,3/1/2020,2:00:00 PM,30.31
139,3/1/2020,3:00:00 PM,30.30
140,3/1/2020,4:00:00 PM,30.30
141,3/1/2020,5:00:00 PM,30.30
142,3/1/2020,6:00:00 PM,30.29
143,3/1/2020,7:00:00 PM,30.29
144,3/1/2020,8:00:00 PM,30.28
145,3/1/2020,9:00:00 PM,30.28
146,3/1/2020,10:00:00 PM,30.27
147,3/1/2020,11:00:00 PM,30.27
148,4/1/2020,12:00:00 AM,30.27
149,4/1/2020,1:00:00 AM,30.26
150,4/1/2020,2:00:00 AM,30.26
151,4/1/2020,3:00:00 AM,30.25
152,4/1/2020,4:00:00 AM,30.25
153,4/1/2020,5:00:00 AM,30.25
154,4/1/2020,6:00:00 AM,30.25
155,4/1/2020,7:00:00 AM,30.25
156,4/1/2020,8:00:00 AM,30.25
157,4/1/2020,9:00:00 AM,30.25
158,4/1/2020,10:00:00 AM,30.25
159,4/1/2020,11:00:00 AM,30.25
160,4/1/2020,12:00:00 PM,30.25
161,4/1/2020,1:00:00 PM,30.26
162,4/1/2020,2:00:00 PM,30.26
163,4/1/2020,3:00:00 PM,30.26
164,4/1/2020,4:00:00 PM,30.27
165,4/1/2020,5:00:00 PM,30.27
166,4/1/2020,6:00:00 PM,30.27
167,4/1/2020,7:00:00 PM,30.28
168,4/1/2020,8:00:00 PM,30.28
169,4/1/2020,9:00:00 PM,30.28
170,4/1/2020,10:00:00 PM,30.28
171,4/1/2020,11:00:00 PM,30.29
172,5/1/2020,12:00:00 AM,30.29
173,5/1/2020,1:00:00 AM,30.29
174,5/1/2020,2:00:00 AM,30.29
175,5/1/2020,3:00:00 AM,30.30
176,5/1/2020,4:00:00 AM,30.30
177,5/1/2020,5:00:00 AM,30.30
178,5/1/2020,6:00:00 AM,30.31
179,5/1/2020,7:00:00 AM,30.31
180,5/1/2020,8:00:00 AM,30.32
181,5/1/2020,9:00:00 AM,30.32
182,5/1/2020,10:00:00 AM,30.33
183,5/1/2020,11:00:00 AM,30.33
184,5/1/2020,12:00:00 PM,30.34
185,5/1/2020,1:00:00 PM,30.35
186,5/1/2020,2:00:00 PM,30.35
187,5/1/2020,3:00:00 PM,30.36
188,5/1/2020,4:00:00 PM,30.37
189,5/1/2020,5:00:00 PM,30.37
190,5/1/2020,6:00:00 PM,30.38
191,5/1/2020,7:00:00 PM,30.38
192,5/1/2020,8:00:00 PM,30.39
193,5/1/2020,9:00:00 PM,30.39
194,5/1/2020,10:00:00 PM,30.40
195,5/1/2020,11:00:00 PM,30.40
196,6/1/2020,12:00:00 AM,30.41
197,6/1/2020,1:00:00 AM,30.41
198,6/1/2020,2:00:00 AM,30.42
199,6/1/2020,3:00:00 AM,30.42
200,6/1/2020,4:00:00 AM,30.43
201,6/1/2020,5:00:00 AM,30.43
202,6/1/2020,6:00:00 AM,30.44
203,6/1/2020,7:00:00 AM,30.44
204,6/1/2020,8:00:00 AM,30.45
205,6/1/2020,9:00:00 AM,30.46
206,6/1/2020,10:00:00 AM,30.46
207,6/1/2020,11:00:00 AM,30.47
208,6/1/2020,12:00:00 PM,30.48
209,6/1/2020,1:00:00 PM,30.48
210,6/1/2020,2:00:00 PM,30.49
211,6/1/2020,3:00:00 PM,30.49
212,6/1/2020,4:00:00 PM,30.49
213,6/1/2020,5:00:00 PM,30.50
214,6/1/2020,6:00:00 PM,30.50
215,6/1/2020,7:00:00 PM,30.51
216,6/1/2020,8:00:00 PM,30.51
217,6/1/2020,9:00:00 PM,30.51
218,6/1/2020,10:00:00 PM,30.52
219,6/1/2020,11:00:00 PM,30.52
220,7/1/2020,12:00:00 AM,30.52
221,7/1/2020,1:00:00 AM,30.52
222,7/1/2020,2:00:00 AM,30.52
223,7/1/2020,3:00:00 AM,30.53
224,7/1/2020,4:00:00 AM,30.53
225,7/1/2020,5:00:00 AM,30.53
226,7/1/2020,6:00:00 AM,30.53
227,7/1/2020,7:00:00 AM,30.53
228,7/1/2020,8:00:00 AM,30.53
229,7/1/2020,9:00:00 AM,30.53
230,7/1/2020,10:00:00 AM,30.54
231,7/1/2020,11:00:00 AM,30.54
232,7/1/2020,12:00:00 PM,30.54
233,7/1/2020,1:00:00 PM,30.54
234,7/1/2020,2:00:00 PM,30.54
235,7/1/2020,3:00:00 PM,30.55
236,7/1/2020,4:00:00 PM,30.55
237,7/1/2020,5:00:00 PM,30.55
238,7/1/2020,6:00:00 PM,30.55
239,7/1/2020,7:00:00 PM,30.55
240,7/1/2020,8:00:00 PM,30.55
241,7/1/2020,9:00:00 PM,30.55
242,7/1/2020,10:00:00 PM,30.54
243,7/1/2020,11:00:00 PM,30.54
244,8/1/2020,12:00:00 AM,30.54
245,8/1/2020,1:00:00 AM,30.53
246,8/1/2020,2:00:00 AM,30.53
247,8/1/2020,3:00:00 AM,30.52
248,8/1/2020,4:00:00 AM,30.52
249,8/1/2020,5:00:00 AM,30.51
250,8/1/2020,6:00:00 AM,30.51
251,8/1/2020,7:00:00 AM,30.51
252,8/1/2020,8:00:00 AM,30.50
253,8/1/2020,9:00:00 AM,30.50
254,8/1/2020,10:00:00 AM,30.49
255,8/1/2020,11:00:00 AM,30.49
256,8/1/2020,12:00:00 PM,30.49
257,8/1/2020,1:00:00 PM,30.48
258,8/1/2020,2:00:00 PM,30.48
259,8/1/2020,3:00:00 PM,30.48
260,8/1/2020,4:00:00 PM,30.47
261,8/1/2020,5:00:00 PM,30.47
262,8/1/2020,6:00:00 PM,30.46
263,8/1/2020,7:00:00 PM,30.46
264,8/1/2020,8:00:00 PM,30.46
265,8/1/2020,9:00:00 PM,30.45
266,8/1/2020,10:00:00 PM,30.45
267,8/1/2020,11:00:00 PM,30.45
268,9/1/2020,12:00:00 AM,30.44
269,9/1/2020,1:00:00 AM,30.44
270,9/1/2020,2:00:00 AM,30.43
271,9/1/2020,3:00:00 AM,30.43
272,9/1/2020,4:00:00 AM,30.42
273,9/1/2020,5:00:00 AM,30.42
274,9/1/2020,6:00:00 AM,30.42
275,9/1/2020,7:00:00 AM,30.41
276,9/1/2020,8:00:00 AM,30.41
277,9/1/2020,9:00:00 AM,30.41
278,9/1/2020,10:00:00 AM,30.40
279,9/1/2020,11:00:00 AM,30.40
280,9/1/2020,12:00:00 PM,30.40
281,9/1/2020,1:00:00 PM,30.40
282,9/1/2020,2:00:00 PM,30.39
283,9/1/2020,3:00:00 PM,30.39
284,9/1/2020,4:00:00 PM,30.39
285,9/1/2020,5:00:00 PM,30.39
286,9/1/2020,6:00:00 PM,30.38
287,9/1/2020,7:00:00 PM,30.38
288,9/1/2020,8:00:00 PM,30.38
289,9/1/2020,9:00:00 PM,30.37
290,9/1/2020,10:00:00 PM,30.37
291,9/1/2020,11:00:00 PM,30.37
292,10/1/2020,12:00:00 AM,30.37
293,10/1/2020,1:00:00 AM,30.36
294,10/1/2020,2:00:00 AM,30.36
295,10/1/2020,3:00:00 AM,30.36
296,10/1/2020,4:00:00 AM,30.35
297,10/1/2020,5:00:00 AM,30.35
298,10/1/2020,6:00:00 AM,30.35
299,10/1/2020,7:00:00 AM,30.35
300,10/1/2020,8:00:00 AM,30.35
301,10/1/2020,9:00:00 AM,30.35
302,10/1/2020,10:00:00 AM,30.35
303,10/1/2020,11:00:00 AM,30.36
304,10/1/2020,12:00:00 PM,30.36
305,10/1/2020,1:00:00 PM,30.36
306,10/1/2020,2:00:00 PM,30.36
307,10/1/2020,3:00:00 PM,30.37
308,10/1/2020,4:00:00 PM,30.37
309,10/1/2020,5:00:00 PM,30.37
310,10/1/2020,6:00:00 PM,30.37
311,10/1/2020,7:00:00 PM,30.38
312,10/1/2020,8:00:00 PM,30.38
313,10/1/2020,9:00:00 PM,30.38
314,10/1/2020,10:00:00 PM,30.39
315,10/1/2020,11:00:00 PM,30.39
316,11/1/2020,12:00:00 AM,30.39
317,11/1/2020,1:00:00 AM,30.39
318,11/1/2020,2:00:00 AM,30.40
319,11/1/2020,3:00:00 AM,30.40
320,11/1/2020,4:00:00 AM,30.40
321,11/1/2020,5:00:00 AM,30.41
322,11/1/2020,6:00:00 AM,30.41
323,11/1/2020,7:00:00 AM,30.41
324,11/1/2020,8:00:00 AM,30.42
325,11/1/2020,9:00:00 AM,30.43
326,11/1/2020,10:00:00 AM,30.43
327,11/1/2020,11:00:00 AM,30.44
328,11/1/2020,12:00:00 PM,30.44
329,11/1/2020,1:00:00 PM,30.45
