Property,Date,Time,Temperature
3,13/01/2020,10:00:00 PM,29.91
4,13/01/2020,11:00:00 PM,30.32
5,14/01/2020,12:00:00 AM,30.44
6,14/01/2020,1:00:00 AM,30.50
7,14/01/2020,2:00:00 AM,30.55
8,14/01/2020,3:00:00 AM,30.58
9,14/01/2020,4:00:00 AM,30.60
10,14/01/2020,5:00:00 AM,30.62
11,14/01/2020,6:00:00 AM,30.63
12,14/01/2020,7:00:00 AM,30.63
13,14/01/2020,8:00:00 AM,30.63
14,14/01/2020,9:00:00 AM,30.63
15,14/01/2020,10:00:00 AM,30.63
16,14/01/2020,11:00:00 AM,30.63
17,14/01/2020,12:00:00 PM,30.63
18,14/01/2020,1:00:00 PM,30.62
19,14/01/2020,2:00:00 PM,30.61
20,14/01/2020,3:00:00 PM,30.61
21,14/01/2020,4:00:00 PM,30.60
22,14/01/2020,5:00:00 PM,30.59
23,14/01/2020,6:00:00 PM,30.58
24,14/01/2020,7:00:00 PM,30.57
25,14/01/2020,8:00:00 PM,30.57
26,14/01/2020,9:00:00 PM,30.56
27,14/01/2020,10:00:00 PM,30.55
28,14/01/2020,11:00:00 PM,30.54
29,15/01/2020,12:00:00 AM,30.54
30,15/01/2020,1:00:00 AM,30.54
31,15/01/2020,2:00:00 AM,30.54
32,15/01/2020,3:00:00 AM,30.54
33,15/01/2020,4:00:00 AM,30.54
34,15/01/2020,5:00:00 AM,30.54
35,15/01/2020,6:00:00 AM,30.55
36,15/01/2020,7:00:00 AM,30.55
37,15/01/2020,8:00:00 AM,30.56
38,15/01/2020,9:00:00 AM,30.56
39,15/01/2020,10:00:00 AM,30.57
40,15/01/2020,11:00:00 AM,30.57
41,15/01/2020,12:00:00 PM,30.58
42,15/01/2020,1:00:00 PM,30.58
43,15/01/2020,2:00:00 PM,30.59
44,15/01/2020,3:00:00 PM,30.59
45,15/01/2020,4:00:00 PM,30.59
46,15/01/2020,5:00:00 PM,30.60
47,15/01/2020,6:00:00 PM,30.60
48,15/01/2020,7:00:00 PM,30.60
49,15/01/2020,8:00:00 PM,30.60
50,15/01/2020,9:00:00 PM,30.60
51,15/01/2020,10:00:00 PM,30.60
52,15/01/2020,11:00:00 PM,30.61
53,16/01/2020,12:00:00 AM,30.61
54,16/01/2020,1:00:00 AM,30.61
55,16/01/2020,2:00:00 AM,30.62
56,16/01/2020,3:00:00 AM,30.63
57,16/01/2020,4:00:00 AM,30.63
58,16/01/2020,5:00:00 AM,30.65
59,16/01/2020,6:00:00 AM,30.65
60,16/01/2020,7:00:00 AM,30.67
61,16/01/2020,8:00:00 AM,30.68
62,16/01/2020,9:00:00 AM,30.69
63,16/01/2020,10:00:00 AM,30.70
64,16/01/2020,11:00:00 AM,30.71
65,16/01/2020,12:00:00 PM,30.72
66,16/01/2020,1:00:00 PM,30.72
67,16/01/2020,2:00:00 PM,30.73
68,16/01/2020,3:00:00 PM,30.73
69,16/01/2020,4:00:00 PM,30.73
70,16/01/2020,5:00:00 PM,30.73
71,16/01/2020,6:00:00 PM,30.73
72,16/01/2020,7:00:00 PM,30.73
73,16/01/2020,8:00:00 PM,30.72
74,16/01/2020,9:00:00 PM,30.72
