"","temperature","datetime","datetime_UTC","time"
"1",30.76,"2020-01-18 00:00:00","2020-01-18 03:00:00",0
"2",31.01,"2020-01-18 01:00:00","2020-01-18 04:00:00",60
"3",31.01,"2020-01-18 02:00:00","2020-01-18 05:00:00",120
"4",31,"2020-01-18 03:00:00","2020-01-18 06:00:00",180
"5",30.98,"2020-01-18 04:00:00","2020-01-18 07:00:00",240
"6",30.97,"2020-01-18 05:00:00","2020-01-18 08:00:00",300
"7",30.95,"2020-01-18 06:00:00","2020-01-18 09:00:00",360
"8",30.94,"2020-01-18 07:00:00","2020-01-18 10:00:00",420
"9",30.92,"2020-01-18 08:00:00","2020-01-18 11:00:00",480
"10",30.91,"2020-01-18 09:00:00","2020-01-18 12:00:00",540
"11",30.89,"2020-01-18 10:00:00","2020-01-18 13:00:00",600
"12",30.88,"2020-01-18 11:00:00","2020-01-18 14:00:00",660
"13",30.87,"2020-01-18 12:00:00","2020-01-18 15:00:00",720
"14",30.85,"2020-01-18 13:00:00","2020-01-18 16:00:00",780
"15",30.84,"2020-01-18 14:00:00","2020-01-18 17:00:00",840
"16",30.83,"2020-01-18 15:00:00","2020-01-18 18:00:00",900
"17",30.81,"2020-01-18 16:00:00","2020-01-18 19:00:00",960
"18",30.8,"2020-01-18 17:00:00","2020-01-18 20:00:00",1020
"19",30.79,"2020-01-18 18:00:00","2020-01-18 21:00:00",1080
"20",30.78,"2020-01-18 19:00:00","2020-01-18 22:00:00",1140
"21",30.77,"2020-01-18 20:00:00","2020-01-18 23:00:00",1200
"22",30.76,"2020-01-18 21:00:00","2020-01-19 00:00:00",1260
"23",30.75,"2020-01-18 22:00:00","2020-01-19 01:00:00",1320
"24",30.74,"2020-01-18 23:00:00","2020-01-19 02:00:00",1380
"25",30.73,"2020-01-19 00:00:00","2020-01-19 03:00:00",1440
"26",30.72,"2020-01-19 01:00:00","2020-01-19 04:00:00",1500
"27",30.71,"2020-01-19 02:00:00","2020-01-19 05:00:00",1560
"28",30.7,"2020-01-19 03:00:00","2020-01-19 06:00:00",1620
"29",30.7,"2020-01-19 04:00:00","2020-01-19 07:00:00",1680
"30",30.69,"2020-01-19 05:00:00","2020-01-19 08:00:00",1740
"31",30.68,"2020-01-19 06:00:00","2020-01-19 09:00:00",1800
"32",30.68,"2020-01-19 07:00:00","2020-01-19 10:00:00",1860
