"","temperature","datetime","datetime_UTC","time"
"1",29.74,"2019-12-28 21:00:00","2019-12-29 00:00:00",0
"2",29.86,"2019-12-28 22:00:00","2019-12-29 01:00:00",60
"3",29.85,"2019-12-28 23:00:00","2019-12-29 02:00:00",120
"4",29.85,"2019-12-29 00:00:00","2019-12-29 03:00:00",180
"5",29.86,"2019-12-29 01:00:00","2019-12-29 04:00:00",240
"6",29.86,"2019-12-29 02:00:00","2019-12-29 05:00:00",300
"7",29.87,"2019-12-29 03:00:00","2019-12-29 06:00:00",360
"8",29.88,"2019-12-29 04:00:00","2019-12-29 07:00:00",420
"9",29.88,"2019-12-29 05:00:00","2019-12-29 08:00:00",480
"10",29.89,"2019-12-29 06:00:00","2019-12-29 09:00:00",540
"11",29.89,"2019-12-29 07:00:00","2019-12-29 10:00:00",600
"12",29.9,"2019-12-29 08:00:00","2019-12-29 11:00:00",660
"13",29.9,"2019-12-29 09:00:00","2019-12-29 12:00:00",720
"14",29.9,"2019-12-29 10:00:00","2019-12-29 13:00:00",780
"15",29.91,"2019-12-29 11:00:00","2019-12-29 14:00:00",840
"16",29.91,"2019-12-29 12:00:00","2019-12-29 15:00:00",900
"17",29.91,"2019-12-29 13:00:00","2019-12-29 16:00:00",960
"18",29.92,"2019-12-29 14:00:00","2019-12-29 17:00:00",1020
"19",29.92,"2019-12-29 15:00:00","2019-12-29 18:00:00",1080
"20",29.92,"2019-12-29 16:00:00","2019-12-29 19:00:00",1140
"21",29.92,"2019-12-29 17:00:00","2019-12-29 20:00:00",1200
"22",29.93,"2019-12-29 18:00:00","2019-12-29 21:00:00",1260
"23",29.93,"2019-12-29 19:00:00","2019-12-29 22:00:00",1320
"24",29.93,"2019-12-29 20:00:00","2019-12-29 23:00:00",1380
"25",29.93,"2019-12-29 21:00:00","2019-12-30 00:00:00",1440
"26",29.93,"2019-12-29 22:00:00","2019-12-30 01:00:00",1500
"27",29.93,"2019-12-29 23:00:00","2019-12-30 02:00:00",1560
"28",29.94,"2019-12-30 00:00:00","2019-12-30 03:00:00",1620
"29",29.94,"2019-12-30 01:00:00","2019-12-30 04:00:00",1680
"30",29.94,"2019-12-30 02:00:00","2019-12-30 05:00:00",1740
"31",29.94,"2019-12-30 03:00:00","2019-12-30 06:00:00",1800
"32",29.94,"2019-12-30 04:00:00","2019-12-30 07:00:00",1860
"33",29.94,"2019-12-30 05:00:00","2019-12-30 08:00:00",1920
