"","temperature","datetime","datetime_UTC","time"
"1",28.88,"2020-01-09 02:00:00","2020-01-09 05:00:00",0
"2",29.29,"2020-01-09 03:00:00","2020-01-09 06:00:00",60
"3",29.4,"2020-01-09 04:00:00","2020-01-09 07:00:00",120
"4",29.47,"2020-01-09 05:00:00","2020-01-09 08:00:00",180
"5",29.51,"2020-01-09 06:00:00","2020-01-09 09:00:00",240
"6",29.58,"2020-01-09 07:00:00","2020-01-09 10:00:00",300
"7",29.64,"2020-01-09 08:00:00","2020-01-09 11:00:00",360
"8",29.7,"2020-01-09 09:00:00","2020-01-09 12:00:00",420
"9",29.76,"2020-01-09 10:00:00","2020-01-09 13:00:00",480
"10",29.8,"2020-01-09 11:00:00","2020-01-09 14:00:00",540
"11",29.84,"2020-01-09 12:00:00","2020-01-09 15:00:00",600
"12",29.87,"2020-01-09 13:00:00","2020-01-09 16:00:00",660
"13",29.9,"2020-01-09 14:00:00","2020-01-09 17:00:00",720
"14",29.92,"2020-01-09 15:00:00","2020-01-09 18:00:00",780
"15",29.93,"2020-01-09 16:00:00","2020-01-09 19:00:00",840
"16",29.94,"2020-01-09 17:00:00","2020-01-09 20:00:00",900
"17",29.95,"2020-01-09 18:00:00","2020-01-09 21:00:00",960
"18",29.96,"2020-01-09 19:00:00","2020-01-09 22:00:00",1020
"19",29.97,"2020-01-09 20:00:00","2020-01-09 23:00:00",1080
"20",29.97,"2020-01-09 21:00:00","2020-01-10 00:00:00",1140
"21",29.97,"2020-01-09 22:00:00","2020-01-10 01:00:00",1200
"22",29.98,"2020-01-09 23:00:00","2020-01-10 02:00:00",1260
"23",29.98,"2020-01-10 00:00:00","2020-01-10 03:00:00",1320
"24",29.98,"2020-01-10 01:00:00","2020-01-10 04:00:00",1380
"25",29.99,"2020-01-10 02:00:00","2020-01-10 05:00:00",1440
"26",29.99,"2020-01-10 03:00:00","2020-01-10 06:00:00",1500
"27",29.99,"2020-01-10 04:00:00","2020-01-10 07:00:00",1560
"28",30,"2020-01-10 05:00:00","2020-01-10 08:00:00",1620
"29",30,"2020-01-10 06:00:00","2020-01-10 09:00:00",1680
"30",30.01,"2020-01-10 07:00:00","2020-01-10 10:00:00",1740
"31",30.01,"2020-01-10 08:00:00","2020-01-10 11:00:00",1800
"32",30.02,"2020-01-10 09:00:00","2020-01-10 12:00:00",1860
"33",30.03,"2020-01-10 10:00:00","2020-01-10 13:00:00",1920
"34",30.03,"2020-01-10 11:00:00","2020-01-10 14:00:00",1980
"35",30.04,"2020-01-10 12:00:00","2020-01-10 15:00:00",2040
"36",30.04,"2020-01-10 13:00:00","2020-01-10 16:00:00",2100
"37",30.05,"2020-01-10 14:00:00","2020-01-10 17:00:00",2160
"38",30.05,"2020-01-10 15:00:00","2020-01-10 18:00:00",2220
"39",30.06,"2020-01-10 16:00:00","2020-01-10 19:00:00",2280
"40",30.06,"2020-01-10 17:00:00","2020-01-10 20:00:00",2340
"41",30.07,"2020-01-10 18:00:00","2020-01-10 21:00:00",2400
"42",30.07,"2020-01-10 19:00:00","2020-01-10 22:00:00",2460
"43",30.07,"2020-01-10 20:00:00","2020-01-10 23:00:00",2520
"44",30.08,"2020-01-10 21:00:00","2020-01-11 00:00:00",2580
"45",30.08,"2020-01-10 22:00:00","2020-01-11 01:00:00",2640
"46",30.09,"2020-01-10 23:00:00","2020-01-11 02:00:00",2700
"47",30.09,"2020-01-11 00:00:00","2020-01-11 03:00:00",2760
"48",30.1,"2020-01-11 01:00:00","2020-01-11 04:00:00",2820
"49",30.11,"2020-01-11 02:00:00","2020-01-11 05:00:00",2880
"50",30.11,"2020-01-11 03:00:00","2020-01-11 06:00:00",2940
"51",30.12,"2020-01-11 04:00:00","2020-01-11 07:00:00",3000
"52",30.13,"2020-01-11 05:00:00","2020-01-11 08:00:00",3060
"53",30.14,"2020-01-11 06:00:00","2020-01-11 09:00:00",3120
"54",30.15,"2020-01-11 07:00:00","2020-01-11 10:00:00",3180
"55",30.16,"2020-01-11 08:00:00","2020-01-11 11:00:00",3240
"56",30.17,"2020-01-11 09:00:00","2020-01-11 12:00:00",3300
"57",30.18,"2020-01-11 10:00:00","2020-01-11 13:00:00",3360
"58",30.19,"2020-01-11 11:00:00","2020-01-11 14:00:00",3420
