"","temperature","datetime","datetime_UTC","time"
"1",29.48,"2020-01-07 01:00:00","2020-01-07 04:00:00",0
"2",30.16,"2020-01-07 02:00:00","2020-01-07 05:00:00",60
"3",30.26,"2020-01-07 03:00:00","2020-01-07 06:00:00",120
"4",30.34,"2020-01-07 04:00:00","2020-01-07 07:00:00",180
"5",30.4,"2020-01-07 05:00:00","2020-01-07 08:00:00",240
"6",30.45,"2020-01-07 06:00:00","2020-01-07 09:00:00",300
"7",30.48,"2020-01-07 07:00:00","2020-01-07 10:00:00",360
"8",30.51,"2020-01-07 08:00:00","2020-01-07 11:00:00",420
"9",30.53,"2020-01-07 09:00:00","2020-01-07 12:00:00",480
"10",30.54,"2020-01-07 10:00:00","2020-01-07 13:00:00",540
"11",30.55,"2020-01-07 11:00:00","2020-01-07 14:00:00",600
"12",30.56,"2020-01-07 12:00:00","2020-01-07 15:00:00",660
"13",30.56,"2020-01-07 13:00:00","2020-01-07 16:00:00",720
"14",30.56,"2020-01-07 14:00:00","2020-01-07 17:00:00",780
"15",30.56,"2020-01-07 15:00:00","2020-01-07 18:00:00",840
"16",30.56,"2020-01-07 16:00:00","2020-01-07 19:00:00",900
"17",30.56,"2020-01-07 17:00:00","2020-01-07 20:00:00",960
"18",30.56,"2020-01-07 18:00:00","2020-01-07 21:00:00",1020
"19",30.55,"2020-01-07 19:00:00","2020-01-07 22:00:00",1080
"20",30.55,"2020-01-07 20:00:00","2020-01-07 23:00:00",1140
"21",30.54,"2020-01-07 21:00:00","2020-01-08 00:00:00",1200
"22",30.54,"2020-01-07 22:00:00","2020-01-08 01:00:00",1260
"23",30.53,"2020-01-07 23:00:00","2020-01-08 02:00:00",1320
"24",30.53,"2020-01-08 00:00:00","2020-01-08 03:00:00",1380
"25",30.52,"2020-01-08 01:00:00","2020-01-08 04:00:00",1440
"26",30.51,"2020-01-08 02:00:00","2020-01-08 05:00:00",1500
"27",30.51,"2020-01-08 03:00:00","2020-01-08 06:00:00",1560
"28",30.5,"2020-01-08 04:00:00","2020-01-08 07:00:00",1620
"29",30.49,"2020-01-08 05:00:00","2020-01-08 08:00:00",1680
"30",30.49,"2020-01-08 06:00:00","2020-01-08 09:00:00",1740
"31",30.48,"2020-01-08 07:00:00","2020-01-08 10:00:00",1800
"32",30.48,"2020-01-08 08:00:00","2020-01-08 11:00:00",1860
