"","temperature","datetime","datetime_UTC","time"
"1",29.91,"2020-01-13 22:00:00","2020-01-14 01:00:00",0
"2",30.32,"2020-01-13 23:00:00","2020-01-14 02:00:00",60
"3",30.44,"2020-01-14 00:00:00","2020-01-14 03:00:00",120
"4",30.5,"2020-01-14 01:00:00","2020-01-14 04:00:00",180
"5",30.55,"2020-01-14 02:00:00","2020-01-14 05:00:00",240
"6",30.58,"2020-01-14 03:00:00","2020-01-14 06:00:00",300
"7",30.6,"2020-01-14 04:00:00","2020-01-14 07:00:00",360
"8",30.62,"2020-01-14 05:00:00","2020-01-14 08:00:00",420
"9",30.63,"2020-01-14 06:00:00","2020-01-14 09:00:00",480
"10",30.63,"2020-01-14 07:00:00","2020-01-14 10:00:00",540
"11",30.63,"2020-01-14 08:00:00","2020-01-14 11:00:00",600
"12",30.63,"2020-01-14 09:00:00","2020-01-14 12:00:00",660
"13",30.63,"2020-01-14 10:00:00","2020-01-14 13:00:00",720
"14",30.63,"2020-01-14 11:00:00","2020-01-14 14:00:00",780
"15",30.63,"2020-01-14 12:00:00","2020-01-14 15:00:00",840
"16",30.62,"2020-01-14 13:00:00","2020-01-14 16:00:00",900
"17",30.61,"2020-01-14 14:00:00","2020-01-14 17:00:00",960
"18",30.61,"2020-01-14 15:00:00","2020-01-14 18:00:00",1020
"19",30.6,"2020-01-14 16:00:00","2020-01-14 19:00:00",1080
"20",30.59,"2020-01-14 17:00:00","2020-01-14 20:00:00",1140
"21",30.58,"2020-01-14 18:00:00","2020-01-14 21:00:00",1200
"22",30.57,"2020-01-14 19:00:00","2020-01-14 22:00:00",1260
"23",30.57,"2020-01-14 20:00:00","2020-01-14 23:00:00",1320
"24",30.56,"2020-01-14 21:00:00","2020-01-15 00:00:00",1380
"25",30.55,"2020-01-14 22:00:00","2020-01-15 01:00:00",1440
"26",30.54,"2020-01-14 23:00:00","2020-01-15 02:00:00",1500
"27",30.54,"2020-01-15 00:00:00","2020-01-15 03:00:00",1560
"28",30.54,"2020-01-15 01:00:00","2020-01-15 04:00:00",1620
"29",30.54,"2020-01-15 02:00:00","2020-01-15 05:00:00",1680
"30",30.54,"2020-01-15 03:00:00","2020-01-15 06:00:00",1740
"31",30.54,"2020-01-15 04:00:00","2020-01-15 07:00:00",1800
"32",30.54,"2020-01-15 05:00:00","2020-01-15 08:00:00",1860
"33",30.55,"2020-01-15 06:00:00","2020-01-15 09:00:00",1920
"34",30.55,"2020-01-15 07:00:00","2020-01-15 10:00:00",1980
"35",30.56,"2020-01-15 08:00:00","2020-01-15 11:00:00",2040
"36",30.56,"2020-01-15 09:00:00","2020-01-15 12:00:00",2100
"37",30.57,"2020-01-15 10:00:00","2020-01-15 13:00:00",2160
"38",30.57,"2020-01-15 11:00:00","2020-01-15 14:00:00",2220
"39",30.58,"2020-01-15 12:00:00","2020-01-15 15:00:00",2280
"40",30.58,"2020-01-15 13:00:00","2020-01-15 16:00:00",2340
"41",30.59,"2020-01-15 14:00:00","2020-01-15 17:00:00",2400
"42",30.59,"2020-01-15 15:00:00","2020-01-15 18:00:00",2460
"43",30.59,"2020-01-15 16:00:00","2020-01-15 19:00:00",2520
"44",30.6,"2020-01-15 17:00:00","2020-01-15 20:00:00",2580
"45",30.6,"2020-01-15 18:00:00","2020-01-15 21:00:00",2640
"46",30.6,"2020-01-15 19:00:00","2020-01-15 22:00:00",2700
"47",30.6,"2020-01-15 20:00:00","2020-01-15 23:00:00",2760
"48",30.6,"2020-01-15 21:00:00","2020-01-16 00:00:00",2820
"49",30.6,"2020-01-15 22:00:00","2020-01-16 01:00:00",2880
"50",30.61,"2020-01-15 23:00:00","2020-01-16 02:00:00",2940
"51",30.61,"2020-01-16 00:00:00","2020-01-16 03:00:00",3000
"52",30.61,"2020-01-16 01:00:00","2020-01-16 04:00:00",3060
"53",30.62,"2020-01-16 02:00:00","2020-01-16 05:00:00",3120
"54",30.63,"2020-01-16 03:00:00","2020-01-16 06:00:00",3180
"55",30.63,"2020-01-16 04:00:00","2020-01-16 07:00:00",3240
"56",30.65,"2020-01-16 05:00:00","2020-01-16 08:00:00",3300
"57",30.65,"2020-01-16 06:00:00","2020-01-16 09:00:00",3360
"58",30.67,"2020-01-16 07:00:00","2020-01-16 10:00:00",3420
"59",30.68,"2020-01-16 08:00:00","2020-01-16 11:00:00",3480
"60",30.69,"2020-01-16 09:00:00","2020-01-16 12:00:00",3540
"61",30.7,"2020-01-16 10:00:00","2020-01-16 13:00:00",3600
"62",30.71,"2020-01-16 11:00:00","2020-01-16 14:00:00",3660
"63",30.72,"2020-01-16 12:00:00","2020-01-16 15:00:00",3720
"64",30.72,"2020-01-16 13:00:00","2020-01-16 16:00:00",3780
"65",30.73,"2020-01-16 14:00:00","2020-01-16 17:00:00",3840
"66",30.73,"2020-01-16 15:00:00","2020-01-16 18:00:00",3900
"67",30.73,"2020-01-16 16:00:00","2020-01-16 19:00:00",3960
"68",30.73,"2020-01-16 17:00:00","2020-01-16 20:00:00",4020
"69",30.73,"2020-01-16 18:00:00","2020-01-16 21:00:00",4080
"70",30.73,"2020-01-16 19:00:00","2020-01-16 22:00:00",4140
"71",30.72,"2020-01-16 20:00:00","2020-01-16 23:00:00",4200
"72",30.72,"2020-01-16 21:00:00","2020-01-17 00:00:00",4260
"73",30.72,"2020-01-16 22:00:00","2020-01-17 01:00:00",4320
"74",30.71,"2020-01-16 23:00:00","2020-01-17 02:00:00",4380
"75",30.71,"2020-01-17 00:00:00","2020-01-17 03:00:00",4440
"76",30.7,"2020-01-17 01:00:00","2020-01-17 04:00:00",4500
"77",30.7,"2020-01-17 02:00:00","2020-01-17 05:00:00",4560
"78",30.7,"2020-01-17 03:00:00","2020-01-17 06:00:00",4620
"79",30.7,"2020-01-17 04:00:00","2020-01-17 07:00:00",4680
"80",30.69,"2020-01-17 05:00:00","2020-01-17 08:00:00",4740
"81",30.69,"2020-01-17 06:00:00","2020-01-17 09:00:00",4800
"82",30.69,"2020-01-17 07:00:00","2020-01-17 10:00:00",4860
"83",30.69,"2020-01-17 08:00:00","2020-01-17 11:00:00",4920
"84",30.69,"2020-01-17 09:00:00","2020-01-17 12:00:00",4980
"85",30.69,"2020-01-17 10:00:00","2020-01-17 13:00:00",5040
