"","temperature","datetime","datetime_UTC","time"
"2",30.63,"2020-01-20 02:00:00","2020-01-20 05:00:00",0
"3",30.6,"2020-01-20 03:00:00","2020-01-20 06:00:00",60
"4",30.57,"2020-01-20 04:00:00","2020-01-20 07:00:00",120
"5",30.55,"2020-01-20 05:00:00","2020-01-20 08:00:00",180
"6",30.53,"2020-01-20 06:00:00","2020-01-20 09:00:00",240
"7",30.52,"2020-01-20 07:00:00","2020-01-20 10:00:00",300
"8",30.51,"2020-01-20 08:00:00","2020-01-20 11:00:00",360
"9",30.51,"2020-01-20 09:00:00","2020-01-20 12:00:00",420
"10",30.5,"2020-01-20 10:00:00","2020-01-20 13:00:00",480
"11",30.49,"2020-01-20 11:00:00","2020-01-20 14:00:00",540
"12",30.49,"2020-01-20 12:00:00","2020-01-20 15:00:00",600
"13",30.48,"2020-01-20 13:00:00","2020-01-20 16:00:00",660
"14",30.48,"2020-01-20 14:00:00","2020-01-20 17:00:00",720
"15",30.47,"2020-01-20 15:00:00","2020-01-20 18:00:00",780
"16",30.47,"2020-01-20 16:00:00","2020-01-20 19:00:00",840
"17",30.47,"2020-01-20 17:00:00","2020-01-20 20:00:00",900
"18",30.46,"2020-01-20 18:00:00","2020-01-20 21:00:00",960
"19",30.46,"2020-01-20 19:00:00","2020-01-20 22:00:00",1020
"20",30.46,"2020-01-20 20:00:00","2020-01-20 23:00:00",1080
"21",30.45,"2020-01-20 21:00:00","2020-01-21 00:00:00",1140
"22",30.45,"2020-01-20 22:00:00","2020-01-21 01:00:00",1200
"23",30.45,"2020-01-20 23:00:00","2020-01-21 02:00:00",1260
"24",30.44,"2020-01-21 00:00:00","2020-01-21 03:00:00",1320
"25",30.44,"2020-01-21 01:00:00","2020-01-21 04:00:00",1380
"26",30.44,"2020-01-21 02:00:00","2020-01-21 05:00:00",1440
"27",30.44,"2020-01-21 03:00:00","2020-01-21 06:00:00",1500
"28",30.44,"2020-01-21 04:00:00","2020-01-21 07:00:00",1560
"29",30.44,"2020-01-21 05:00:00","2020-01-21 08:00:00",1620
"30",30.45,"2020-01-21 06:00:00","2020-01-21 09:00:00",1680
"31",30.45,"2020-01-21 07:00:00","2020-01-21 10:00:00",1740
"32",30.46,"2020-01-21 08:00:00","2020-01-21 11:00:00",1800
"33",30.46,"2020-01-21 09:00:00","2020-01-21 12:00:00",1860
"34",30.47,"2020-01-21 10:00:00","2020-01-21 13:00:00",1920
"35",30.47,"2020-01-21 11:00:00","2020-01-21 14:00:00",1980
"36",30.48,"2020-01-21 12:00:00","2020-01-21 15:00:00",2040
"37",30.49,"2020-01-21 13:00:00","2020-01-21 16:00:00",2100
"38",30.49,"2020-01-21 14:00:00","2020-01-21 17:00:00",2160
"39",30.5,"2020-01-21 15:00:00","2020-01-21 18:00:00",2220
"40",30.51,"2020-01-21 16:00:00","2020-01-21 19:00:00",2280
"41",30.51,"2020-01-21 17:00:00","2020-01-21 20:00:00",2340
"42",30.52,"2020-01-21 18:00:00","2020-01-21 21:00:00",2400
"43",30.53,"2020-01-21 19:00:00","2020-01-21 22:00:00",2460
"44",30.53,"2020-01-21 20:00:00","2020-01-21 23:00:00",2520
"45",30.54,"2020-01-21 21:00:00","2020-01-22 00:00:00",2580
"46",30.54,"2020-01-21 22:00:00","2020-01-22 01:00:00",2640
"47",30.55,"2020-01-21 23:00:00","2020-01-22 02:00:00",2700
"48",30.55,"2020-01-22 00:00:00","2020-01-22 03:00:00",2760
"49",30.56,"2020-01-22 01:00:00","2020-01-22 04:00:00",2820
"50",30.56,"2020-01-22 02:00:00","2020-01-22 05:00:00",2880
"51",30.57,"2020-01-22 03:00:00","2020-01-22 06:00:00",2940
"52",30.57,"2020-01-22 04:00:00","2020-01-22 07:00:00",3000
"53",30.58,"2020-01-22 05:00:00","2020-01-22 08:00:00",3060
"54",30.59,"2020-01-22 06:00:00","2020-01-22 09:00:00",3120
"55",30.6,"2020-01-22 07:00:00","2020-01-22 10:00:00",3180
"56",30.6,"2020-01-22 08:00:00","2020-01-22 11:00:00",3240
"57",30.61,"2020-01-22 09:00:00","2020-01-22 12:00:00",3300
"58",30.62,"2020-01-22 10:00:00","2020-01-22 13:00:00",3360
