"","temperature","datetime","datetime_UTC","time"
"2",30.082,"2020-01-16 00:00:00","2020-01-16 03:00:00",0
"3",30.36,"2020-01-16 01:00:00","2020-01-16 04:00:00",60
"4",30.58,"2020-01-16 02:00:00","2020-01-16 05:00:00",120
"5",30.749,"2020-01-16 03:00:00","2020-01-16 06:00:00",180
"6",30.876,"2020-01-16 04:00:00","2020-01-16 07:00:00",240
"7",30.972,"2020-01-16 05:00:00","2020-01-16 08:00:00",300
"8",31.041,"2020-01-16 06:00:00","2020-01-16 09:00:00",360
"9",31.09,"2020-01-16 07:00:00","2020-01-16 10:00:00",420
"10",31.121,"2020-01-16 08:00:00","2020-01-16 11:00:00",480
"11",31.139,"2020-01-16 09:00:00","2020-01-16 12:00:00",540
"12",31.145,"2020-01-16 10:00:00","2020-01-16 13:00:00",600
"13",31.142,"2020-01-16 11:00:00","2020-01-16 14:00:00",660
"14",31.132,"2020-01-16 12:00:00","2020-01-16 15:00:00",720
"15",31.115,"2020-01-16 13:00:00","2020-01-16 16:00:00",780
"16",31.092,"2020-01-16 14:00:00","2020-01-16 17:00:00",840
"17",31.064,"2020-01-16 15:00:00","2020-01-16 18:00:00",900
"18",31.038,"2020-01-16 16:00:00","2020-01-16 19:00:00",960
"19",31.009,"2020-01-16 17:00:00","2020-01-16 20:00:00",1020
"20",30.983,"2020-01-16 18:00:00","2020-01-16 21:00:00",1080
"21",30.957,"2020-01-16 19:00:00","2020-01-16 22:00:00",1140
"22",30.934,"2020-01-16 20:00:00","2020-01-16 23:00:00",1200
"23",30.917,"2020-01-16 21:00:00","2020-01-17 00:00:00",1260
"24",30.904,"2020-01-16 22:00:00","2020-01-17 01:00:00",1320
"25",30.893,"2020-01-16 23:00:00","2020-01-17 02:00:00",1380
"26",30.887,"2020-01-17 00:00:00","2020-01-17 03:00:00",1440
"27",30.881,"2020-01-17 01:00:00","2020-01-17 04:00:00",1500
"28",30.876,"2020-01-17 02:00:00","2020-01-17 05:00:00",1560
"29",30.871,"2020-01-17 03:00:00","2020-01-17 06:00:00",1620
"30",30.865,"2020-01-17 04:00:00","2020-01-17 07:00:00",1680
"31",30.858,"2020-01-17 05:00:00","2020-01-17 08:00:00",1740
"32",30.848,"2020-01-17 06:00:00","2020-01-17 09:00:00",1800
"33",30.838,"2020-01-17 07:00:00","2020-01-17 10:00:00",1860
"34",30.824,"2020-01-17 08:00:00","2020-01-17 11:00:00",1920
"35",30.809,"2020-01-17 09:00:00","2020-01-17 12:00:00",1980
"36",30.79,"2020-01-17 10:00:00","2020-01-17 13:00:00",2040
"37",30.771,"2020-01-17 11:00:00","2020-01-17 14:00:00",2100
"38",30.748,"2020-01-17 12:00:00","2020-01-17 15:00:00",2160
"39",30.725,"2020-01-17 13:00:00","2020-01-17 16:00:00",2220
"40",30.7,"2020-01-17 14:00:00","2020-01-17 17:00:00",2280
"41",30.677,"2020-01-17 15:00:00","2020-01-17 18:00:00",2340
"42",30.659,"2020-01-17 16:00:00","2020-01-17 19:00:00",2400
"43",30.644,"2020-01-17 17:00:00","2020-01-17 20:00:00",2460
"44",30.636,"2020-01-17 18:00:00","2020-01-17 21:00:00",2520
"45",30.638,"2020-01-17 19:00:00","2020-01-17 22:00:00",2580
"46",30.641,"2020-01-17 20:00:00","2020-01-17 23:00:00",2640
"47",30.65,"2020-01-17 21:00:00","2020-01-18 00:00:00",2700
"48",30.664,"2020-01-17 22:00:00","2020-01-18 01:00:00",2760
"49",30.677,"2020-01-17 23:00:00","2020-01-18 02:00:00",2820
"50",30.693,"2020-01-18 00:00:00","2020-01-18 03:00:00",2880
"51",30.705,"2020-01-18 01:00:00","2020-01-18 04:00:00",2940
"52",30.716,"2020-01-18 02:00:00","2020-01-18 05:00:00",3000
