"","temperature","datetime","datetime_UTC","time"
"1",28.647,"2019-12-20 01:00:00","2019-12-20 04:00:00",0
"2",30.227,"2019-12-20 02:00:00","2019-12-20 05:00:00",60
"3",30.192,"2019-12-20 03:00:00","2019-12-20 06:00:00",120
"4",30.132,"2019-12-20 04:00:00","2019-12-20 07:00:00",180
"5",30.082,"2019-12-20 05:00:00","2019-12-20 08:00:00",240
"6",30.041,"2019-12-20 06:00:00","2019-12-20 09:00:00",300
"7",30.003,"2019-12-20 07:00:00","2019-12-20 10:00:00",360
"8",29.969,"2019-12-20 08:00:00","2019-12-20 11:00:00",420
"9",29.937,"2019-12-20 09:00:00","2019-12-20 12:00:00",480
"10",29.905,"2019-12-20 10:00:00","2019-12-20 13:00:00",540
"11",29.875,"2019-12-20 11:00:00","2019-12-20 14:00:00",600
"12",29.847,"2019-12-20 12:00:00","2019-12-20 15:00:00",660
"13",29.822,"2019-12-20 13:00:00","2019-12-20 16:00:00",720
"14",29.797,"2019-12-20 14:00:00","2019-12-20 17:00:00",780
"15",29.773,"2019-12-20 15:00:00","2019-12-20 18:00:00",840
"16",29.749,"2019-12-20 16:00:00","2019-12-20 19:00:00",900
"17",29.728,"2019-12-20 17:00:00","2019-12-20 20:00:00",960
"18",29.708,"2019-12-20 18:00:00","2019-12-20 21:00:00",1020
"19",29.689,"2019-12-20 19:00:00","2019-12-20 22:00:00",1080
"20",29.67,"2019-12-20 20:00:00","2019-12-20 23:00:00",1140
"21",29.652,"2019-12-20 21:00:00","2019-12-21 00:00:00",1200
"22",29.637,"2019-12-20 22:00:00","2019-12-21 01:00:00",1260
"23",29.622,"2019-12-20 23:00:00","2019-12-21 02:00:00",1320
"24",29.607,"2019-12-21 00:00:00","2019-12-21 03:00:00",1380
"25",29.595,"2019-12-21 01:00:00","2019-12-21 04:00:00",1440
"26",29.583,"2019-12-21 02:00:00","2019-12-21 05:00:00",1500
"27",29.572,"2019-12-21 03:00:00","2019-12-21 06:00:00",1560
"28",29.563,"2019-12-21 04:00:00","2019-12-21 07:00:00",1620
"29",29.554,"2019-12-21 05:00:00","2019-12-21 08:00:00",1680
"30",29.548,"2019-12-21 06:00:00","2019-12-21 09:00:00",1740
"31",29.54,"2019-12-21 07:00:00","2019-12-21 10:00:00",1800
"32",29.534,"2019-12-21 08:00:00","2019-12-21 11:00:00",1860
"33",29.53,"2019-12-21 09:00:00","2019-12-21 12:00:00",1920
"34",29.525,"2019-12-21 10:00:00","2019-12-21 13:00:00",1980
"35",29.521,"2019-12-21 11:00:00","2019-12-21 14:00:00",2040
"36",29.516,"2019-12-21 12:00:00","2019-12-21 15:00:00",2100
"37",29.513,"2019-12-21 13:00:00","2019-12-21 16:00:00",2160
"38",29.509,"2019-12-21 14:00:00","2019-12-21 17:00:00",2220
"39",29.506,"2019-12-21 15:00:00","2019-12-21 18:00:00",2280
"40",29.503,"2019-12-21 16:00:00","2019-12-21 19:00:00",2340
"41",29.5,"2019-12-21 17:00:00","2019-12-21 20:00:00",2400
"42",29.497,"2019-12-21 18:00:00","2019-12-21 21:00:00",2460
"43",29.494,"2019-12-21 19:00:00","2019-12-21 22:00:00",2520
"44",29.491,"2019-12-21 20:00:00","2019-12-21 23:00:00",2580
"45",29.489,"2019-12-21 21:00:00","2019-12-22 00:00:00",2640
"46",29.486,"2019-12-21 22:00:00","2019-12-22 01:00:00",2700
"47",29.485,"2019-12-21 23:00:00","2019-12-22 02:00:00",2760
"48",29.483,"2019-12-22 00:00:00","2019-12-22 03:00:00",2820
"49",29.483,"2019-12-22 01:00:00","2019-12-22 04:00:00",2880
"50",29.483,"2019-12-22 02:00:00","2019-12-22 05:00:00",2940
"51",29.483,"2019-12-22 03:00:00","2019-12-22 06:00:00",3000
"52",29.485,"2019-12-22 04:00:00","2019-12-22 07:00:00",3060
"53",29.488,"2019-12-22 05:00:00","2019-12-22 08:00:00",3120
"54",29.491,"2019-12-22 06:00:00","2019-12-22 09:00:00",3180
"55",29.494,"2019-12-22 07:00:00","2019-12-22 10:00:00",3240
"56",29.497,"2019-12-22 08:00:00","2019-12-22 11:00:00",3300
"57",29.501,"2019-12-22 09:00:00","2019-12-22 12:00:00",3360
"58",29.506,"2019-12-22 10:00:00","2019-12-22 13:00:00",3420
"59",29.51,"2019-12-22 11:00:00","2019-12-22 14:00:00",3480
"60",29.515,"2019-12-22 12:00:00","2019-12-22 15:00:00",3540
"61",29.519,"2019-12-22 13:00:00","2019-12-22 16:00:00",3600
"62",29.524,"2019-12-22 14:00:00","2019-12-22 17:00:00",3660
"63",29.528,"2019-12-22 15:00:00","2019-12-22 18:00:00",3720
"64",29.533,"2019-12-22 16:00:00","2019-12-22 19:00:00",3780
"65",29.537,"2019-12-22 17:00:00","2019-12-22 20:00:00",3840
"66",29.542,"2019-12-22 18:00:00","2019-12-22 21:00:00",3900
"67",29.547,"2019-12-22 19:00:00","2019-12-22 22:00:00",3960
"68",29.55,"2019-12-22 20:00:00","2019-12-22 23:00:00",4020
"69",29.553,"2019-12-22 21:00:00","2019-12-23 00:00:00",4080
"70",29.556,"2019-12-22 22:00:00","2019-12-23 01:00:00",4140
"71",29.562,"2019-12-22 23:00:00","2019-12-23 02:00:00",4200
"72",29.566,"2019-12-23 00:00:00","2019-12-23 03:00:00",4260
"73",29.572,"2019-12-23 01:00:00","2019-12-23 04:00:00",4320
"74",29.577,"2019-12-23 02:00:00","2019-12-23 05:00:00",4380
"75",29.584,"2019-12-23 03:00:00","2019-12-23 06:00:00",4440
"76",29.592,"2019-12-23 04:00:00","2019-12-23 07:00:00",4500
"77",29.601,"2019-12-23 05:00:00","2019-12-23 08:00:00",4560
"78",29.608,"2019-12-23 06:00:00","2019-12-23 09:00:00",4620
"79",29.619,"2019-12-23 07:00:00","2019-12-23 10:00:00",4680
"80",29.628,"2019-12-23 08:00:00","2019-12-23 11:00:00",4740
"81",29.639,"2019-12-23 09:00:00","2019-12-23 12:00:00",4800
"82",29.649,"2019-12-23 10:00:00","2019-12-23 13:00:00",4860
"83",29.66,"2019-12-23 11:00:00","2019-12-23 14:00:00",4920
"84",29.67,"2019-12-23 12:00:00","2019-12-23 15:00:00",4980
"85",29.679,"2019-12-23 13:00:00","2019-12-23 16:00:00",5040
"86",29.69,"2019-12-23 14:00:00","2019-12-23 17:00:00",5100
"87",29.699,"2019-12-23 15:00:00","2019-12-23 18:00:00",5160
"88",29.708,"2019-12-23 16:00:00","2019-12-23 19:00:00",5220
"89",29.717,"2019-12-23 17:00:00","2019-12-23 20:00:00",5280
"90",29.726,"2019-12-23 18:00:00","2019-12-23 21:00:00",5340
"91",29.734,"2019-12-23 19:00:00","2019-12-23 22:00:00",5400
"92",29.741,"2019-12-23 20:00:00","2019-12-23 23:00:00",5460
"93",29.748,"2019-12-23 21:00:00","2019-12-24 00:00:00",5520
"94",29.749,"2019-12-23 22:00:00","2019-12-24 01:00:00",5580
"95",29.749,"2019-12-23 23:00:00","2019-12-24 02:00:00",5640
"96",29.748,"2019-12-24 00:00:00","2019-12-24 03:00:00",5700
"97",29.748,"2019-12-24 01:00:00","2019-12-24 04:00:00",5760
"98",29.748,"2019-12-24 02:00:00","2019-12-24 05:00:00",5820
"99",29.746,"2019-12-24 03:00:00","2019-12-24 06:00:00",5880
"100",29.745,"2019-12-24 04:00:00","2019-12-24 07:00:00",5940
"101",29.743,"2019-12-24 05:00:00","2019-12-24 08:00:00",6000
"102",29.74,"2019-12-24 06:00:00","2019-12-24 09:00:00",6060
"103",29.735,"2019-12-24 07:00:00","2019-12-24 10:00:00",6120
"104",29.728,"2019-12-24 08:00:00","2019-12-24 11:00:00",6180
"105",29.72,"2019-12-24 09:00:00","2019-12-24 12:00:00",6240
"106",29.71,"2019-12-24 10:00:00","2019-12-24 13:00:00",6300
"107",29.698,"2019-12-24 11:00:00","2019-12-24 14:00:00",6360
"108",29.684,"2019-12-24 12:00:00","2019-12-24 15:00:00",6420
"109",29.67,"2019-12-24 13:00:00","2019-12-24 16:00:00",6480
"110",29.657,"2019-12-24 14:00:00","2019-12-24 17:00:00",6540
"111",29.64,"2019-12-24 15:00:00","2019-12-24 18:00:00",6600
"112",29.625,"2019-12-24 16:00:00","2019-12-24 19:00:00",6660
"113",29.61,"2019-12-24 17:00:00","2019-12-24 20:00:00",6720
"114",29.595,"2019-12-24 18:00:00","2019-12-24 21:00:00",6780
"115",29.58,"2019-12-24 19:00:00","2019-12-24 22:00:00",6840
"116",29.565,"2019-12-24 20:00:00","2019-12-24 23:00:00",6900
"117",29.55,"2019-12-24 21:00:00","2019-12-25 00:00:00",6960
"118",29.536,"2019-12-24 22:00:00","2019-12-25 01:00:00",7020
"119",29.521,"2019-12-24 23:00:00","2019-12-25 02:00:00",7080
"120",29.509,"2019-12-25 00:00:00","2019-12-25 03:00:00",7140
"121",29.495,"2019-12-25 01:00:00","2019-12-25 04:00:00",7200
"122",29.483,"2019-12-25 02:00:00","2019-12-25 05:00:00",7260
"123",29.473,"2019-12-25 03:00:00","2019-12-25 06:00:00",7320
"124",29.46,"2019-12-25 04:00:00","2019-12-25 07:00:00",7380
"125",29.451,"2019-12-25 05:00:00","2019-12-25 08:00:00",7440
"126",29.441,"2019-12-25 06:00:00","2019-12-25 09:00:00",7500
"127",29.432,"2019-12-25 07:00:00","2019-12-25 10:00:00",7560
"128",29.424,"2019-12-25 08:00:00","2019-12-25 11:00:00",7620
"129",29.417,"2019-12-25 09:00:00","2019-12-25 12:00:00",7680
"130",29.408,"2019-12-25 10:00:00","2019-12-25 13:00:00",7740
"131",29.399,"2019-12-25 11:00:00","2019-12-25 14:00:00",7800
"132",29.393,"2019-12-25 12:00:00","2019-12-25 15:00:00",7860
"133",29.387,"2019-12-25 13:00:00","2019-12-25 16:00:00",7920
"134",29.379,"2019-12-25 14:00:00","2019-12-25 17:00:00",7980
"135",29.373,"2019-12-25 15:00:00","2019-12-25 18:00:00",8040
"136",29.367,"2019-12-25 16:00:00","2019-12-25 19:00:00",8100
"137",29.361,"2019-12-25 17:00:00","2019-12-25 20:00:00",8160
"138",29.355,"2019-12-25 18:00:00","2019-12-25 21:00:00",8220
"139",29.349,"2019-12-25 19:00:00","2019-12-25 22:00:00",8280
"140",29.344,"2019-12-25 20:00:00","2019-12-25 23:00:00",8340
"141",29.34,"2019-12-25 21:00:00","2019-12-26 00:00:00",8400
"142",29.335,"2019-12-25 22:00:00","2019-12-26 01:00:00",8460
"143",29.334,"2019-12-25 23:00:00","2019-12-26 02:00:00",8520
"144",29.331,"2019-12-26 00:00:00","2019-12-26 03:00:00",8580
"145",29.329,"2019-12-26 01:00:00","2019-12-26 04:00:00",8640
"146",29.329,"2019-12-26 02:00:00","2019-12-26 05:00:00",8700
"147",29.331,"2019-12-26 03:00:00","2019-12-26 06:00:00",8760
"148",29.334,"2019-12-26 04:00:00","2019-12-26 07:00:00",8820
"149",29.337,"2019-12-26 05:00:00","2019-12-26 08:00:00",8880
"150",29.341,"2019-12-26 06:00:00","2019-12-26 09:00:00",8940
"151",29.347,"2019-12-26 07:00:00","2019-12-26 10:00:00",9000
"152",29.353,"2019-12-26 08:00:00","2019-12-26 11:00:00",9060
"153",29.361,"2019-12-26 09:00:00","2019-12-26 12:00:00",9120
"154",29.37,"2019-12-26 10:00:00","2019-12-26 13:00:00",9180
"155",29.378,"2019-12-26 11:00:00","2019-12-26 14:00:00",9240
"156",29.387,"2019-12-26 12:00:00","2019-12-26 15:00:00",9300
"157",29.396,"2019-12-26 13:00:00","2019-12-26 16:00:00",9360
"158",29.405,"2019-12-26 14:00:00","2019-12-26 17:00:00",9420
"159",29.412,"2019-12-26 15:00:00","2019-12-26 18:00:00",9480
"160",29.421,"2019-12-26 16:00:00","2019-12-26 19:00:00",9540
"161",29.429,"2019-12-26 17:00:00","2019-12-26 20:00:00",9600
"162",29.436,"2019-12-26 18:00:00","2019-12-26 21:00:00",9660
"163",29.444,"2019-12-26 19:00:00","2019-12-26 22:00:00",9720
"164",29.451,"2019-12-26 20:00:00","2019-12-26 23:00:00",9780
"165",29.459,"2019-12-26 21:00:00","2019-12-27 00:00:00",9840
"166",29.467,"2019-12-26 22:00:00","2019-12-27 01:00:00",9900
"167",29.473,"2019-12-26 23:00:00","2019-12-27 02:00:00",9960
"168",29.48,"2019-12-27 00:00:00","2019-12-27 03:00:00",10020
"169",29.488,"2019-12-27 01:00:00","2019-12-27 04:00:00",10080
"170",29.495,"2019-12-27 02:00:00","2019-12-27 05:00:00",10140
"171",29.504,"2019-12-27 03:00:00","2019-12-27 06:00:00",10200
"172",29.513,"2019-12-27 04:00:00","2019-12-27 07:00:00",10260
"173",29.522,"2019-12-27 05:00:00","2019-12-27 08:00:00",10320
"174",29.53,"2019-12-27 06:00:00","2019-12-27 09:00:00",10380
"175",29.54,"2019-12-27 07:00:00","2019-12-27 10:00:00",10440
"176",29.551,"2019-12-27 08:00:00","2019-12-27 11:00:00",10500
"177",29.56,"2019-12-27 09:00:00","2019-12-27 12:00:00",10560
"178",29.571,"2019-12-27 10:00:00","2019-12-27 13:00:00",10620
"179",29.58,"2019-12-27 11:00:00","2019-12-27 14:00:00",10680
"180",29.589,"2019-12-27 12:00:00","2019-12-27 15:00:00",10740
"181",29.598,"2019-12-27 13:00:00","2019-12-27 16:00:00",10800
"182",29.607,"2019-12-27 14:00:00","2019-12-27 17:00:00",10860
"183",29.616,"2019-12-27 15:00:00","2019-12-27 18:00:00",10920
"184",29.622,"2019-12-27 16:00:00","2019-12-27 19:00:00",10980
"185",29.63,"2019-12-27 17:00:00","2019-12-27 20:00:00",11040
"186",29.639,"2019-12-27 18:00:00","2019-12-27 21:00:00",11100
"187",29.645,"2019-12-27 19:00:00","2019-12-27 22:00:00",11160
"188",29.649,"2019-12-27 20:00:00","2019-12-27 23:00:00",11220
"189",29.657,"2019-12-27 21:00:00","2019-12-28 00:00:00",11280
"190",29.664,"2019-12-27 22:00:00","2019-12-28 01:00:00",11340
"191",29.669,"2019-12-27 23:00:00","2019-12-28 02:00:00",11400
"192",29.676,"2019-12-28 00:00:00","2019-12-28 03:00:00",11460
"193",29.686,"2019-12-28 01:00:00","2019-12-28 04:00:00",11520
"194",29.693,"2019-12-28 02:00:00","2019-12-28 05:00:00",11580
"195",29.702,"2019-12-28 03:00:00","2019-12-28 06:00:00",11640
