"","temperature","datetime","datetime_UTC","time"
"2",29.85,"2020-01-16 22:29:00","2020-01-17 01:29:00",0
"3",30.02,"2020-01-16 23:29:00","2020-01-17 02:29:00",60
"4",30.14,"2020-01-17 00:29:00","2020-01-17 03:29:00",120
"5",30.23,"2020-01-17 01:29:00","2020-01-17 04:29:00",180
"6",30.28,"2020-01-17 02:29:00","2020-01-17 05:29:00",240
"7",30.32,"2020-01-17 03:29:00","2020-01-17 06:29:00",300
"8",30.33,"2020-01-17 04:29:00","2020-01-17 07:29:00",360
"9",30.34,"2020-01-17 05:29:00","2020-01-17 08:29:00",420
"10",30.34,"2020-01-17 06:29:00","2020-01-17 09:29:00",480
"11",30.34,"2020-01-17 07:29:00","2020-01-17 10:29:00",540
"12",30.32,"2020-01-17 08:29:00","2020-01-17 11:29:00",600
"13",30.31,"2020-01-17 09:29:00","2020-01-17 12:29:00",660
"14",30.29,"2020-01-17 10:29:00","2020-01-17 13:29:00",720
"15",30.27,"2020-01-17 11:29:00","2020-01-17 14:29:00",780
"16",30.25,"2020-01-17 12:29:00","2020-01-17 15:29:00",840
"17",30.24,"2020-01-17 13:29:00","2020-01-17 16:29:00",900
"18",30.23,"2020-01-17 14:29:00","2020-01-17 17:29:00",960
"19",30.23,"2020-01-17 15:29:00","2020-01-17 18:29:00",1020
"20",30.23,"2020-01-17 16:29:00","2020-01-17 19:29:00",1080
"21",30.25,"2020-01-17 17:29:00","2020-01-17 20:29:00",1140
"22",30.27,"2020-01-17 18:29:00","2020-01-17 21:29:00",1200
"23",30.3,"2020-01-17 19:29:00","2020-01-17 22:29:00",1260
"24",30.32,"2020-01-17 20:29:00","2020-01-17 23:29:00",1320
"25",30.34,"2020-01-17 21:29:00","2020-01-18 00:29:00",1380
"26",30.36,"2020-01-17 22:29:00","2020-01-18 01:29:00",1440
"27",30.37,"2020-01-17 23:29:00","2020-01-18 02:29:00",1500
"28",30.38,"2020-01-18 00:29:00","2020-01-18 03:29:00",1560
"29",30.39,"2020-01-18 01:29:00","2020-01-18 04:29:00",1620
"30",30.39,"2020-01-18 02:29:00","2020-01-18 05:29:00",1680
"31",30.38,"2020-01-18 03:29:00","2020-01-18 06:29:00",1740
"32",30.37,"2020-01-18 04:29:00","2020-01-18 07:29:00",1800
"33",30.36,"2020-01-18 05:29:00","2020-01-18 08:29:00",1860
"34",30.34,"2020-01-18 06:29:00","2020-01-18 09:29:00",1920
"35",30.33,"2020-01-18 07:29:00","2020-01-18 10:29:00",1980
"36",30.3,"2020-01-18 08:29:00","2020-01-18 11:29:00",2040
"37",30.28,"2020-01-18 09:29:00","2020-01-18 12:29:00",2100
"38",30.26,"2020-01-18 10:29:00","2020-01-18 13:29:00",2160
"39",30.24,"2020-01-18 11:29:00","2020-01-18 14:29:00",2220
"40",30.21,"2020-01-18 12:29:00","2020-01-18 15:29:00",2280
"41",30.19,"2020-01-18 13:29:00","2020-01-18 16:29:00",2340
"42",30.17,"2020-01-18 14:29:00","2020-01-18 17:29:00",2400
"43",30.16,"2020-01-18 15:29:00","2020-01-18 18:29:00",2460
"44",30.14,"2020-01-18 16:29:00","2020-01-18 19:29:00",2520
"45",30.14,"2020-01-18 17:29:00","2020-01-18 20:29:00",2580
"46",30.14,"2020-01-18 18:29:00","2020-01-18 21:29:00",2640
"47",30.15,"2020-01-18 19:29:00","2020-01-18 22:29:00",2700
"48",30.17,"2020-01-18 20:29:00","2020-01-18 23:29:00",2760
"49",30.18,"2020-01-18 21:29:00","2020-01-19 00:29:00",2820
"50",30.19,"2020-01-18 22:29:00","2020-01-19 01:29:00",2880
"51",30.22,"2020-01-18 23:29:00","2020-01-19 02:29:00",2940
"52",30.23,"2020-01-19 00:29:00","2020-01-19 03:29:00",3000
"53",30.24,"2020-01-19 01:29:00","2020-01-19 04:29:00",3060
"54",30.24,"2020-01-19 02:29:00","2020-01-19 05:29:00",3120
"55",30.24,"2020-01-19 03:29:00","2020-01-19 06:29:00",3180
"56",30.23,"2020-01-19 04:29:00","2020-01-19 07:29:00",3240
"57",30.21,"2020-01-19 05:29:00","2020-01-19 08:29:00",3300
"58",30.19,"2020-01-19 06:29:00","2020-01-19 09:29:00",3360
"59",30.16,"2020-01-19 07:29:00","2020-01-19 10:29:00",3420
"60",30.13,"2020-01-19 08:29:00","2020-01-19 11:29:00",3480
"61",30.1,"2020-01-19 09:29:00","2020-01-19 12:29:00",3540
"62",30.07,"2020-01-19 10:29:00","2020-01-19 13:29:00",3600
"63",30.03,"2020-01-19 11:29:00","2020-01-19 14:29:00",3660
"64",30.01,"2020-01-19 12:29:00","2020-01-19 15:29:00",3720
"65",29.99,"2020-01-19 13:29:00","2020-01-19 16:29:00",3780
"66",30,"2020-01-19 14:29:00","2020-01-19 17:29:00",3840
"67",30.03,"2020-01-19 15:29:00","2020-01-19 18:29:00",3900
"68",30.08,"2020-01-19 16:29:00","2020-01-19 19:29:00",3960
"69",30.17,"2020-01-19 17:29:00","2020-01-19 20:29:00",4020
"70",30.27,"2020-01-19 18:29:00","2020-01-19 21:29:00",4080
"71",30.39,"2020-01-19 19:29:00","2020-01-19 22:29:00",4140
"72",30.52,"2020-01-19 20:29:00","2020-01-19 23:29:00",4200
"73",30.63,"2020-01-19 21:29:00","2020-01-20 00:29:00",4260
"74",30.74,"2020-01-19 22:29:00","2020-01-20 01:29:00",4320
"75",30.82,"2020-01-19 23:29:00","2020-01-20 02:29:00",4380
"76",30.89,"2020-01-20 00:29:00","2020-01-20 03:29:00",4440
"77",30.93,"2020-01-20 01:29:00","2020-01-20 04:29:00",4500
"78",30.96,"2020-01-20 02:29:00","2020-01-20 05:29:00",4560
"79",30.97,"2020-01-20 03:29:00","2020-01-20 06:29:00",4620
"80",30.97,"2020-01-20 04:29:00","2020-01-20 07:29:00",4680
"81",30.95,"2020-01-20 05:29:00","2020-01-20 08:29:00",4740
"82",30.93,"2020-01-20 06:29:00","2020-01-20 09:29:00",4800
"83",30.89,"2020-01-20 07:29:00","2020-01-20 10:29:00",4860
"84",30.85,"2020-01-20 08:29:00","2020-01-20 11:29:00",4920
"85",30.8,"2020-01-20 09:29:00","2020-01-20 12:29:00",4980
"86",30.75,"2020-01-20 10:29:00","2020-01-20 13:29:00",5040
"87",30.7,"2020-01-20 11:29:00","2020-01-20 14:29:00",5100
"88",30.65,"2020-01-20 12:29:00","2020-01-20 15:29:00",5160
"89",30.63,"2020-01-20 13:29:00","2020-01-20 16:29:00",5220
"90",30.62,"2020-01-20 14:29:00","2020-01-20 17:29:00",5280
"91",30.64,"2020-01-20 15:29:00","2020-01-20 18:29:00",5340
"92",30.69,"2020-01-20 16:29:00","2020-01-20 19:29:00",5400
"93",30.76,"2020-01-20 17:29:00","2020-01-20 20:29:00",5460
"94",30.84,"2020-01-20 18:29:00","2020-01-20 21:29:00",5520
"95",30.94,"2020-01-20 19:29:00","2020-01-20 22:29:00",5580
"96",31.04,"2020-01-20 20:29:00","2020-01-20 23:29:00",5640
"97",31.13,"2020-01-20 21:29:00","2020-01-21 00:29:00",5700
"98",31.21,"2020-01-20 22:29:00","2020-01-21 01:29:00",5760
"99",31.27,"2020-01-20 23:29:00","2020-01-21 02:29:00",5820
"100",31.32,"2020-01-21 00:29:00","2020-01-21 03:29:00",5880
"101",31.35,"2020-01-21 01:29:00","2020-01-21 04:29:00",5940
"102",31.36,"2020-01-21 02:29:00","2020-01-21 05:29:00",6000
"103",31.36,"2020-01-21 03:29:00","2020-01-21 06:29:00",6060
"104",31.34,"2020-01-21 04:29:00","2020-01-21 07:29:00",6120
"105",31.32,"2020-01-21 05:29:00","2020-01-21 08:29:00",6180
"106",31.28,"2020-01-21 06:29:00","2020-01-21 09:29:00",6240
"107",31.24,"2020-01-21 07:29:00","2020-01-21 10:29:00",6300
"108",31.19,"2020-01-21 08:29:00","2020-01-21 11:29:00",6360
"109",31.14,"2020-01-21 09:29:00","2020-01-21 12:29:00",6420
"110",31.08,"2020-01-21 10:29:00","2020-01-21 13:29:00",6480
"111",31.03,"2020-01-21 11:29:00","2020-01-21 14:29:00",6540
"112",30.98,"2020-01-21 12:29:00","2020-01-21 15:29:00",6600
"113",30.94,"2020-01-21 13:29:00","2020-01-21 16:29:00",6660
"114",30.92,"2020-01-21 14:29:00","2020-01-21 17:29:00",6720
"115",30.92,"2020-01-21 15:29:00","2020-01-21 18:29:00",6780
"116",30.96,"2020-01-21 16:29:00","2020-01-21 19:29:00",6840
"117",31.01,"2020-01-21 17:29:00","2020-01-21 20:29:00",6900
"118",31.09,"2020-01-21 18:29:00","2020-01-21 21:29:00",6960
"119",31.18,"2020-01-21 19:29:00","2020-01-21 22:29:00",7020
"120",31.27,"2020-01-21 20:29:00","2020-01-21 23:29:00",7080
"121",31.36,"2020-01-21 21:29:00","2020-01-22 00:29:00",7140
"122",31.44,"2020-01-21 22:29:00","2020-01-22 01:29:00",7200
"123",31.51,"2020-01-21 23:29:00","2020-01-22 02:29:00",7260
"124",31.55,"2020-01-22 00:29:00","2020-01-22 03:29:00",7320
"125",31.58,"2020-01-22 01:29:00","2020-01-22 04:29:00",7380
"126",31.59,"2020-01-22 02:29:00","2020-01-22 05:29:00",7440
"127",31.58,"2020-01-22 03:29:00","2020-01-22 06:29:00",7500
"128",31.56,"2020-01-22 04:29:00","2020-01-22 07:29:00",7560
"129",31.53,"2020-01-22 05:29:00","2020-01-22 08:29:00",7620
"130",31.49,"2020-01-22 06:29:00","2020-01-22 09:29:00",7680
"131",31.45,"2020-01-22 07:29:00","2020-01-22 10:29:00",7740
"132",31.4,"2020-01-22 08:29:00","2020-01-22 11:29:00",7800
"133",31.34,"2020-01-22 09:29:00","2020-01-22 12:29:00",7860
"134",31.29,"2020-01-22 10:29:00","2020-01-22 13:29:00",7920
"135",31.24,"2020-01-22 11:29:00","2020-01-22 14:29:00",7980
"136",31.2,"2020-01-22 12:29:00","2020-01-22 15:29:00",8040
"137",31.17,"2020-01-22 13:29:00","2020-01-22 16:29:00",8100
"138",31.16,"2020-01-22 14:29:00","2020-01-22 17:29:00",8160
"139",31.17,"2020-01-22 15:29:00","2020-01-22 18:29:00",8220
"140",31.2,"2020-01-22 16:29:00","2020-01-22 19:29:00",8280
"141",31.26,"2020-01-22 17:29:00","2020-01-22 20:29:00",8340
"142",31.33,"2020-01-22 18:29:00","2020-01-22 21:29:00",8400
"143",31.42,"2020-01-22 19:29:00","2020-01-22 22:29:00",8460
"144",31.5,"2020-01-22 20:29:00","2020-01-22 23:29:00",8520
"145",31.58,"2020-01-22 21:29:00","2020-01-23 00:29:00",8580
"146",31.66,"2020-01-22 22:29:00","2020-01-23 01:29:00",8640
"147",31.71,"2020-01-22 23:29:00","2020-01-23 02:29:00",8700
"148",31.75,"2020-01-23 00:29:00","2020-01-23 03:29:00",8760
"149",31.78,"2020-01-23 01:29:00","2020-01-23 04:29:00",8820
"150",31.79,"2020-01-23 02:29:00","2020-01-23 05:29:00",8880
"151",31.79,"2020-01-23 03:29:00","2020-01-23 06:29:00",8940
"152",31.77,"2020-01-23 04:29:00","2020-01-23 07:29:00",9000
"153",31.75,"2020-01-23 05:29:00","2020-01-23 08:29:00",9060
"154",31.72,"2020-01-23 06:29:00","2020-01-23 09:29:00",9120
"155",31.69,"2020-01-23 07:29:00","2020-01-23 10:29:00",9180
"156",31.65,"2020-01-23 08:29:00","2020-01-23 11:29:00",9240
"157",31.62,"2020-01-23 09:29:00","2020-01-23 12:29:00",9300
"158",31.58,"2020-01-23 10:29:00","2020-01-23 13:29:00",9360
"159",31.53,"2020-01-23 11:29:00","2020-01-23 14:29:00",9420
"160",31.5,"2020-01-23 12:29:00","2020-01-23 15:29:00",9480
"161",31.47,"2020-01-23 13:29:00","2020-01-23 16:29:00",9540
"162",31.46,"2020-01-23 14:29:00","2020-01-23 17:29:00",9600
"163",31.46,"2020-01-23 15:29:00","2020-01-23 18:29:00",9660
"164",31.49,"2020-01-23 16:29:00","2020-01-23 19:29:00",9720
"165",31.53,"2020-01-23 17:29:00","2020-01-23 20:29:00",9780
"166",31.58,"2020-01-23 18:29:00","2020-01-23 21:29:00",9840
"167",31.64,"2020-01-23 19:29:00","2020-01-23 22:29:00",9900
"168",31.71,"2020-01-23 20:29:00","2020-01-23 23:29:00",9960
"169",31.77,"2020-01-23 21:29:00","2020-01-24 00:29:00",10020
"170",31.82,"2020-01-23 22:29:00","2020-01-24 01:29:00",10080
"171",31.86,"2020-01-23 23:29:00","2020-01-24 02:29:00",10140
"172",31.88,"2020-01-24 00:29:00","2020-01-24 03:29:00",10200
"173",31.89,"2020-01-24 01:29:00","2020-01-24 04:29:00",10260
"174",31.89,"2020-01-24 02:29:00","2020-01-24 05:29:00",10320
"175",31.88,"2020-01-24 03:29:00","2020-01-24 06:29:00",10380
"176",31.86,"2020-01-24 04:29:00","2020-01-24 07:29:00",10440
"177",31.83,"2020-01-24 05:29:00","2020-01-24 08:29:00",10500
"178",31.8,"2020-01-24 06:29:00","2020-01-24 09:29:00",10560
"179",31.77,"2020-01-24 07:29:00","2020-01-24 10:29:00",10620
"180",31.73,"2020-01-24 08:29:00","2020-01-24 11:29:00",10680
"181",31.69,"2020-01-24 09:29:00","2020-01-24 12:29:00",10740
"182",31.64,"2020-01-24 10:29:00","2020-01-24 13:29:00",10800
"183",31.6,"2020-01-24 11:29:00","2020-01-24 14:29:00",10860
"184",31.56,"2020-01-24 12:29:00","2020-01-24 15:29:00",10920
"185",31.53,"2020-01-24 13:29:00","2020-01-24 16:29:00",10980
"186",31.52,"2020-01-24 14:29:00","2020-01-24 17:29:00",11040
"187",31.53,"2020-01-24 15:29:00","2020-01-24 18:29:00",11100
"188",31.56,"2020-01-24 16:29:00","2020-01-24 19:29:00",11160
"189",31.61,"2020-01-24 17:29:00","2020-01-24 20:29:00",11220
"190",31.67,"2020-01-24 18:29:00","2020-01-24 21:29:00",11280
"191",31.74,"2020-01-24 19:29:00","2020-01-24 22:29:00",11340
"192",31.81,"2020-01-24 20:29:00","2020-01-24 23:29:00",11400
"193",31.88,"2020-01-24 21:29:00","2020-01-25 00:29:00",11460
"194",31.94,"2020-01-24 22:29:00","2020-01-25 01:29:00",11520
"195",31.99,"2020-01-24 23:29:00","2020-01-25 02:29:00",11580
"196",32.02,"2020-01-25 00:29:00","2020-01-25 03:29:00",11640
"197",32.04,"2020-01-25 01:29:00","2020-01-25 04:29:00",11700
"198",32.04,"2020-01-25 02:29:00","2020-01-25 05:29:00",11760
"199",32.04,"2020-01-25 03:29:00","2020-01-25 06:29:00",11820
"200",32.02,"2020-01-25 04:29:00","2020-01-25 07:29:00",11880
"201",32,"2020-01-25 05:29:00","2020-01-25 08:29:00",11940
"202",31.97,"2020-01-25 06:29:00","2020-01-25 09:29:00",12000
"203",31.94,"2020-01-25 07:29:00","2020-01-25 10:29:00",12060
"204",31.9,"2020-01-25 08:29:00","2020-01-25 11:29:00",12120
"205",31.86,"2020-01-25 09:29:00","2020-01-25 12:29:00",12180
"206",31.82,"2020-01-25 10:29:00","2020-01-25 13:29:00",12240
"207",31.78,"2020-01-25 11:29:00","2020-01-25 14:29:00",12300
"208",31.75,"2020-01-25 12:29:00","2020-01-25 15:29:00",12360
"209",31.72,"2020-01-25 13:29:00","2020-01-25 16:29:00",12420
"210",31.71,"2020-01-25 14:29:00","2020-01-25 17:29:00",12480
"211",31.71,"2020-01-25 15:29:00","2020-01-25 18:29:00",12540
"212",31.74,"2020-01-25 16:29:00","2020-01-25 19:29:00",12600
"213",31.78,"2020-01-25 17:29:00","2020-01-25 20:29:00",12660
"214",31.84,"2020-01-25 18:29:00","2020-01-25 21:29:00",12720
"215",31.91,"2020-01-25 19:29:00","2020-01-25 22:29:00",12780
"216",31.98,"2020-01-25 20:29:00","2020-01-25 23:29:00",12840
"217",32.04,"2020-01-25 21:29:00","2020-01-26 00:29:00",12900
"218",32.1,"2020-01-25 22:29:00","2020-01-26 01:29:00",12960
"219",32.14,"2020-01-25 23:29:00","2020-01-26 02:29:00",13020
"220",32.17,"2020-01-26 00:29:00","2020-01-26 03:29:00",13080
"221",32.19,"2020-01-26 01:29:00","2020-01-26 04:29:00",13140
"222",32.19,"2020-01-26 02:29:00","2020-01-26 05:29:00",13200
"223",32.19,"2020-01-26 03:29:00","2020-01-26 06:29:00",13260
"224",32.18,"2020-01-26 04:29:00","2020-01-26 07:29:00",13320
"225",32.15,"2020-01-26 05:29:00","2020-01-26 08:29:00",13380
"226",32.1,"2020-01-26 06:29:00","2020-01-26 09:29:00",13440
"227",32.01,"2020-01-26 07:29:00","2020-01-26 10:29:00",13500
"228",31.92,"2020-01-26 08:29:00","2020-01-26 11:29:00",13560
"229",31.83,"2020-01-26 09:29:00","2020-01-26 12:29:00",13620
"230",31.74,"2020-01-26 10:29:00","2020-01-26 13:29:00",13680
"231",31.66,"2020-01-26 11:29:00","2020-01-26 14:29:00",13740
"232",31.6,"2020-01-26 12:29:00","2020-01-26 15:29:00",13800
"233",31.54,"2020-01-26 13:29:00","2020-01-26 16:29:00",13860
"234",31.51,"2020-01-26 14:29:00","2020-01-26 17:29:00",13920
"235",31.5,"2020-01-26 15:29:00","2020-01-26 18:29:00",13980
"236",31.53,"2020-01-26 16:29:00","2020-01-26 19:29:00",14040
"237",31.58,"2020-01-26 17:29:00","2020-01-26 20:29:00",14100
"238",31.66,"2020-01-26 18:29:00","2020-01-26 21:29:00",14160
"239",31.75,"2020-01-26 19:29:00","2020-01-26 22:29:00",14220
"240",31.84,"2020-01-26 20:29:00","2020-01-26 23:29:00",14280
"241",31.92,"2020-01-26 21:29:00","2020-01-27 00:29:00",14340
"242",32,"2020-01-26 22:29:00","2020-01-27 01:29:00",14400
"243",32.05,"2020-01-26 23:29:00","2020-01-27 02:29:00",14460
"244",32.09,"2020-01-27 00:29:00","2020-01-27 03:29:00",14520
"245",32.11,"2020-01-27 01:29:00","2020-01-27 04:29:00",14580
"246",32.12,"2020-01-27 02:29:00","2020-01-27 05:29:00",14640
"247",32.12,"2020-01-27 03:29:00","2020-01-27 06:29:00",14700
